'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,26/10/2023,3.3,5.2, ,16.5,5.3,92,54,7.19,17.37
AVALON AIRPORT,27/10/2023,4.5,0.4, ,19.4,9.1,87,42,4.42,25.92
AVALON AIRPORT,28/10/2023,6.6,0.0, ,26.3,5.9,94,21,6.52,20.33
AVALON AIRPORT,29/10/2023,4.8,0.0, ,23.3,4.1,96,36,3.53,26.03
AVALON AIRPORT,30/10/2023,5.3,0.0, ,24.1,9.8,90,35,7.25,16.96
AVALON AIRPORT,31/10/2023,4.3,2.6, ,18.3,6.9,82,40,6.87,19.11
AVALON AIRPORT,01/11/2023,3.7,0.0, ,17.7,10.1,80,47,4.82,16.87
Totals:,,32.5,8.2, ,,,,,, 
