'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/01/2010,3.3,1.2, ,18.3,14.9,91,70,3.87,19.31
CAPE OTWAY LIGHTHOUSE,02/01/2010,4.2,0.0, ,18.0,12.9,93,56,9.21,24.26
CAPE OTWAY LIGHTHOUSE,03/01/2010,5.2,0.2, ,18.8,13.3,73,55,6.89,28.97
CAPE OTWAY LIGHTHOUSE,04/01/2010,5.3,0.0, ,20.2,11.3,88,56,3.49,34.40
CAPE OTWAY LIGHTHOUSE,05/01/2010,4.3,0.0, ,19.7,10.6,97,62,4.11,29.16
CAPE OTWAY LIGHTHOUSE,06/01/2010,5.6,0.0, ,19.7,14.5,82,53,4.33,34.16
CAPE OTWAY LIGHTHOUSE,07/01/2010,5.6,0.0, ,21.7,14.0,81,62,6.00,34.56
CAPE OTWAY LIGHTHOUSE,08/01/2010,7.2,0.0, ,29.7,14.6,79,25,3.13,32.53
CAPE OTWAY LIGHTHOUSE,09/01/2010,7.1,0.0, ,23.7,19.8,91,20,4.94,33.55
CAPE OTWAY LIGHTHOUSE,10/01/2010,5.6,0.0, ,22.7,14.6,96,55,6.50,33.43
CAPE OTWAY LIGHTHOUSE,11/01/2010,8.6,0.0, ,35.5,17.6,100,27,6.06,25.65
CAPE OTWAY LIGHTHOUSE,12/01/2010,5.5,0.0, ,26.5,21.6,97,30,7.67,11.87
CAPE OTWAY LIGHTHOUSE,13/01/2010,5.3,5.2, ,18.6,14.6,76,54,6.51,30.64
CAPE OTWAY LIGHTHOUSE,14/01/2010,4.5,0.0, ,19.6,14.4,70,54,3.02,24.55
CAPE OTWAY LIGHTHOUSE,15/01/2010,4.9,0.0, ,19.9,13.9,87,60,5.12,30.93
CAPE OTWAY LIGHTHOUSE,16/01/2010,3.5,0.0, ,18.7,13.5,100,62,7.24,20.16
CAPE OTWAY LIGHTHOUSE,17/01/2010,4.3,2.4, ,16.4,11.9,92,54,11.64,27.17
CAPE OTWAY LIGHTHOUSE,18/01/2010,3.9,5.2, ,15.5,9.2,90,55,10.79,26.05
CAPE OTWAY LIGHTHOUSE,19/01/2010,4.1,0.0, ,17.5,13.3,81,58,7.42,21.09
CAPE OTWAY LIGHTHOUSE,20/01/2010,4.2,0.0, ,20.5,13.5,93,64,6.74,25.39
CAPE OTWAY LIGHTHOUSE,21/01/2010,4.9,0.0, ,23.6,10.4,91,54,3.89,28.10
CAPE OTWAY LIGHTHOUSE,22/01/2010,6.4,0.0, ,31.7,16.2,95,32,5.48,17.10
CAPE OTWAY LIGHTHOUSE,23/01/2010,5.2,0.2, ,19.2,14.1,96,47,7.44,32.27
CAPE OTWAY LIGHTHOUSE,24/01/2010,4.8,0.0, ,19.2,11.5,76,51,2.70,30.64
CAPE OTWAY LIGHTHOUSE,25/01/2010,5.1,0.0, ,18.7,13.5,81,58,4.53,32.51
CAPE OTWAY LIGHTHOUSE,26/01/2010,4.4,0.0, ,20.2,13.7,93,65,4.86,27.98
CAPE OTWAY LIGHTHOUSE,27/01/2010,5.4,0.0, ,19.4,13.5,79,49,3.95,33.12
CAPE OTWAY LIGHTHOUSE,28/01/2010,3.4,0.0, ,20.7,11.2,93,73,3.59,20.97
CAPE OTWAY LIGHTHOUSE,29/01/2010,4.9,0.0, ,21.3,14.7,87,56,5.01,27.73
CAPE OTWAY LIGHTHOUSE,30/01/2010,5.9,0.0, ,27.8,13.7,89,66,5.74,32.42
CAPE OTWAY LIGHTHOUSE,31/01/2010,8.9,0.0, ,34.3,15.7,91,27,6.02,30.39
Totals:,,161.5,14.4, ,,,,,, 
