'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/06/2010,0.7,0.0, ,14.2,8.9,95,84,1.82,8.51
CAPE OTWAY LIGHTHOUSE,02/06/2010,1.0,0.0, ,14.9,9.6,94,74,3.90,10.51
CAPE OTWAY LIGHTHOUSE,03/06/2010,0.8,0.8, ,14.7,9.3,97,81,1.75,11.45
CAPE OTWAY LIGHTHOUSE,04/06/2010,1.0,0.2, ,14.0,7.5,96,78,3.39,11.54
CAPE OTWAY LIGHTHOUSE,05/06/2010,1.6,0.4, ,12.3,9.1,95,60,7.50,8.01
CAPE OTWAY LIGHTHOUSE,06/06/2010,1.8,4.4, ,13.2,9.9,86,59,6.83,10.73
CAPE OTWAY LIGHTHOUSE,07/06/2010,1.1,0.4, ,12.6,9.8,94,67,3.29,11.27
CAPE OTWAY LIGHTHOUSE,08/06/2010,1.5,0.0, ,13.0,7.3,91,63,6.32,11.06
CAPE OTWAY LIGHTHOUSE,09/06/2010,1.8,6.8, ,12.0,7.8,96,61,12.67,7.91
CAPE OTWAY LIGHTHOUSE,10/06/2010,1.9,3.4, ,13.3,8.7,94,59,9.79,9.36
CAPE OTWAY LIGHTHOUSE,11/06/2010,1.7,2.6, ,12.0,10.6,97,57,9.67,9.02
CAPE OTWAY LIGHTHOUSE,12/06/2010,1.6,5.2, ,12.1,8.8,89,60,6.84,9.99
CAPE OTWAY LIGHTHOUSE,13/06/2010,1.5,0.2, ,12.7,9.4,77,57,3.95,8.92
CAPE OTWAY LIGHTHOUSE,14/06/2010,0.9,0.0, ,12.4,7.6,97,65,2.99,8.90
CAPE OTWAY LIGHTHOUSE,15/06/2010,1.2,2.8, ,11.5,6.1,97,59,4.33,10.96
CAPE OTWAY LIGHTHOUSE,16/06/2010,1.5,0.0, ,14.9,4.5,86,66,6.21,7.07
CAPE OTWAY LIGHTHOUSE,17/06/2010,1.6,6.8, ,12.1,7.9,91,66,9.61,6.84
CAPE OTWAY LIGHTHOUSE,18/06/2010,1.4,8.4, ,13.9,8.7,92,72,8.89,9.58
CAPE OTWAY LIGHTHOUSE,19/06/2010,1.5,6.2, ,13.7,10.4,94,67,8.57,9.72
CAPE OTWAY LIGHTHOUSE,20/06/2010,1.3,2.8, ,13.4,11.7,96,63,5.32,10.77
CAPE OTWAY LIGHTHOUSE,21/06/2010,1.5,0.0, ,14.7,6.5,88,58,4.14,10.77
CAPE OTWAY LIGHTHOUSE,22/06/2010,1.1,0.0, ,13.7,7.6,93,66,4.12,9.96
CAPE OTWAY LIGHTHOUSE,23/06/2010,1.4,0.0, ,15.7,8.2,88,62,4.07,10.53
CAPE OTWAY LIGHTHOUSE,24/06/2010,2.2,0.0, ,16.6,10.1,74,62,7.54,9.88
CAPE OTWAY LIGHTHOUSE,25/06/2010,1.9,1.0, ,12.9,12.4,94,53,8.20,6.74
CAPE OTWAY LIGHTHOUSE,26/06/2010,1.9,3.8, ,12.1,8.6,81,58,7.95,10.26
CAPE OTWAY LIGHTHOUSE,27/06/2010,1.2,3.8, ,11.7,5.5,91,64,4.75,10.75
CAPE OTWAY LIGHTHOUSE,28/06/2010,2.0,0.0, ,11.6,6.6,81,53,8.12,10.19
CAPE OTWAY LIGHTHOUSE,29/06/2010,1.3,0.4, ,11.7,7.6,93,67,7.39,9.90
CAPE OTWAY LIGHTHOUSE,30/06/2010,0.8,3.4, ,11.8,6.6,93,81,5.79,10.09
Totals:,,42.7,63.8, ,,,,,, 
