'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/08/2010,1.6,13.2, ,12.3,6.4,96,67,11.57,6.25
CAPE OTWAY LIGHTHOUSE,02/08/2010,1.4,9.0, ,13.1,7.4,95,72,7.27,10.95
CAPE OTWAY LIGHTHOUSE,03/08/2010,1.4,0.4, ,11.9,9.1,95,68,5.84,9.02
CAPE OTWAY LIGHTHOUSE,04/08/2010,1.3,9.4, ,10.4,8.2,97,66,6.55,6.04
CAPE OTWAY LIGHTHOUSE,05/08/2010,2.1,5.4, ,11.7,7.8,90,57,9.71,10.71
CAPE OTWAY LIGHTHOUSE,06/08/2010,1.5,0.8, ,12.4,8.8,92,66,4.99,10.68
CAPE OTWAY LIGHTHOUSE,07/08/2010,1.7,0.6, ,13.3,5.9,89,59,4.38,11.38
CAPE OTWAY LIGHTHOUSE,08/08/2010,2.6,0.4, ,14.2,8.0,78,53,7.86,11.33
CAPE OTWAY LIGHTHOUSE,09/08/2010,2.0,0.0, ,13.8,8.8,81,59,4.95,11.65
CAPE OTWAY LIGHTHOUSE,10/08/2010,1.3,0.0, ,13.2,10.4,96,76,10.17,4.55
CAPE OTWAY LIGHTHOUSE,11/08/2010,0.7,48.8, ,11.9,9.8,99,91,10.81,3.69
CAPE OTWAY LIGHTHOUSE,12/08/2010,2.0,27.2, ,12.4,9.4,90,65,11.25,9.50
CAPE OTWAY LIGHTHOUSE,13/08/2010,1.4,0.6, ,13.2,9.8,95,74,4.13,11.03
CAPE OTWAY LIGHTHOUSE,14/08/2010,2.1,0.2, ,13.6,8.5,86,59,8.58,3.41
CAPE OTWAY LIGHTHOUSE,15/08/2010,2.0,0.6, ,13.7,10.2,94,62,9.53,9.47
CAPE OTWAY LIGHTHOUSE,16/08/2010,2.1,11.0, ,10.4,7.0,96,54,11.16,12.40
CAPE OTWAY LIGHTHOUSE,17/08/2010,1.6,3.4, ,12.3,6.2,94,71,5.88,13.91
CAPE OTWAY LIGHTHOUSE,18/08/2010,2.0,0.0, ,12.8,5.2,86,59,8.22,4.59
CAPE OTWAY LIGHTHOUSE,19/08/2010,2.1,0.6, ,11.8,9.1,91,59,9.54,10.63
CAPE OTWAY LIGHTHOUSE,20/08/2010,2.2,12.6, ,11.4,5.0,92,56,11.41,10.81
CAPE OTWAY LIGHTHOUSE,21/08/2010,1.6,16.0, ,11.5,6.6,93,71,8.27,9.50
CAPE OTWAY LIGHTHOUSE,22/08/2010,2.6,7.8, ,15.1,8.0,84,53,6.46,15.07
CAPE OTWAY LIGHTHOUSE,23/08/2010,3.2,0.0, ,15.3,8.9,77,41,7.04,13.43
CAPE OTWAY LIGHTHOUSE,24/08/2010,1.9,2.0, ,12.0,7.0,93,63,9.45,8.49
CAPE OTWAY LIGHTHOUSE,25/08/2010,1.8,13.2, ,11.1,4.8,91,65,8.87,11.59
CAPE OTWAY LIGHTHOUSE,26/08/2010,2.2,26.4, ,10.9,4.8,94,53,9.94,13.32
CAPE OTWAY LIGHTHOUSE,27/08/2010,2.2,7.0, ,11.3,6.5,90,60,10.64,14.59
CAPE OTWAY LIGHTHOUSE,28/08/2010,1.5,2.2, ,12.3,8.3,96,77,4.17,14.75
CAPE OTWAY LIGHTHOUSE,29/08/2010,1.9,2.4, ,13.8,7.6,97,60,3.69,15.12
CAPE OTWAY LIGHTHOUSE,30/08/2010, ,0.0, ,14.9,7.4,88,56,4.48, 
CAPE OTWAY LIGHTHOUSE,31/08/2010, ,0.0, ,15.3,8.5,91,51,8.70, 
Totals:,,54,221.2, ,,,,,, 
