'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,26/10/2023,4.4,1.2, ,20.4,1.0,99,31,3.91,23.50
CHARLTON,27/10/2023,4.7,0.0, ,23.3,2.2,99,17,2.26,25.48
CHARLTON,28/10/2023,5.9,0.0, ,26.8,8.8,79,14,3.71,20.12
CHARLTON,29/10/2023,6.5,0.0, ,30.7,4.5,100,11,2.99,25.24
CHARLTON,30/10/2023,6.1,0.0, ,24.9,11.2,66,28,5.12,22.47
CHARLTON,31/10/2023,4.7,0.0, ,21.2,5.7,93,24,2.93,25.64
CHARLTON,01/11/2023,5.0,0.0, ,23.9,2.7,98,28,3.10,26.13
Totals:,,37.3,1.2, ,,,,,, 
