'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),26/10/2023,2.5,4.0, ,13.9,3.2,96,63,6.36,17.04
COLAC (MOUNT GELLIBRAND),27/10/2023,4.2,0.0, ,17.6,6.3,100,41,5.49,26.31
COLAC (MOUNT GELLIBRAND),28/10/2023,6.2,0.0, ,23.2,8.0,99,26,9.53,21.38
COLAC (MOUNT GELLIBRAND),29/10/2023,3.9,0.0, ,19.0,5.7,100,46,2.85,25.61
COLAC (MOUNT GELLIBRAND),30/10/2023,3.3,0.0, ,18.8,8.4,99,59,9.52,15.40
COLAC (MOUNT GELLIBRAND),31/10/2023,2.7,11.6, ,14.0,4.6,96,60,7.53,17.66
COLAC (MOUNT GELLIBRAND),01/11/2023,2.8,0.0, ,15.8,7.1,92,61,4.06,17.28
Totals:,,25.6,15.6, ,,,,,, 
