'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EILDON FIRE TOWER Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EILDON FIRE TOWER,26/10/2023,3.2,0.4, ,13.7,1.8,96,52,5.35,23.58
EILDON FIRE TOWER,27/10/2023,4.2,0.0, ,18.1,3.6,81,40,3.31,26.55
EILDON FIRE TOWER,28/10/2023,3.3,0.0, ,16.9,7.0,91,50,3.58,18.64
EILDON FIRE TOWER,29/10/2023,6.9,0.0, ,24.4,10.9,57,19,5.54,25.79
EILDON FIRE TOWER,30/10/2023,4.1,0.2, ,17.6,11.5,89,38,6.10,17.85
EILDON FIRE TOWER,31/10/2023,3.4,0.0, ,14.0,4.4,79,54,6.54,20.94
EILDON FIRE TOWER,01/11/2023,3.5,0.0, ,14.6,5.2,89,58,4.17,26.52
Totals:,,28.6,0.6, ,,,,,, 
