'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRANKSTON (BALLAM PARK) Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRANKSTON (BALLAM PARK),26/10/2023,2.6,0.8, ,15.1,5.1,88,54,1.90,16.77
FRANKSTON (BALLAM PARK),27/10/2023,4.2,0.2, ,19.9,7.3,82,37,2.17,26.45
FRANKSTON (BALLAM PARK),28/10/2023,4.3,0.0, ,22.4,7.7,88,33,2.83,20.85
FRANKSTON (BALLAM PARK),29/10/2023,4.1,0.0, ,22.0,7.8,90,46,1.49,26.03
FRANKSTON (BALLAM PARK),30/10/2023,3.6,0.0, ,21.0,11.1,95,42,2.46,18.95
FRANKSTON (BALLAM PARK),31/10/2023,3.5,5.2, ,16.1,9.0,79,51,3.03,20.82
FRANKSTON (BALLAM PARK),01/11/2023,2.0,0.4, ,15.4,8.3,91,58,1.11,11.36
Totals:,,24.3,6.6, ,,,,,, 
