'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAMPIANS (MOUNT WILLIAM) Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAMPIANS (MOUNT WILLIAM),26/10/2023,1.5,4.6, ,9.1,-1.2,99,81,8.90,15.68
GRAMPIANS (MOUNT WILLIAM),27/10/2023,4.3,0.2, ,15.6,-0.5,99,28,5.63,26.31
GRAMPIANS (MOUNT WILLIAM),28/10/2023,5.1,0.0, ,17.6,7.3,86,26,9.29,20.71
GRAMPIANS (MOUNT WILLIAM),29/10/2023,5.2,0.0, ,16.8,6.1,77,13,5.24,25.85
GRAMPIANS (MOUNT WILLIAM),30/10/2023,1.6,0.4, ,8.6,3.6,99,74,8.08,12.70
GRAMPIANS (MOUNT WILLIAM),31/10/2023,1.9,9.8, ,7.7,-0.3,99,73,6.13,19.33
GRAMPIANS (MOUNT WILLIAM),01/11/2023,2.6,0.0, ,9.6,0.8,98,63,7.07,24.19
Totals:,,22.2,15, ,,,,,, 
