'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,26/10/2023,3.2,2.0, ,16.9,1.9,95,47,4.34,18.35
KANAGULK,27/10/2023,4.5,0.0, ,21.7,3.0,91,24,2.31,26.02
KANAGULK,28/10/2023,6.6,0.0, ,27.3,4.9,83,12,4.71,20.65
KANAGULK,29/10/2023,4.4,0.0, ,22.5,2.1,96,24,2.09,25.32
KANAGULK,30/10/2023,3.8,0.0, ,18.5,7.4,92,43,4.33,19.95
KANAGULK,31/10/2023,3.0,1.0, ,16.5,2.2,94,46,2.71,17.84
KANAGULK,01/11/2023,4.0,0.2, ,19.0,3.8,95,47,3.80,25.70
Totals:,,29.5,3.2, ,,,,,, 
