'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),26/10/2023,4.1,0.0, ,19.4,0.0,96,35,5.56,16.94
KELLALAC (WARRACKNABEAL AIRPORT),27/10/2023,5.4,0.0, ,23.6,1.2,93,19,3.76,25.30
KELLALAC (WARRACKNABEAL AIRPORT),28/10/2023,7.3,0.0, ,28.0,5.6,84,14,6.14,19.63
KELLALAC (WARRACKNABEAL AIRPORT),29/10/2023,6.8,0.0, ,28.4,4.2,94,19,4.66,24.90
KELLALAC (WARRACKNABEAL AIRPORT),30/10/2023,5.9,0.0, ,23.7,10.5,72,36,7.44,20.69
KELLALAC (WARRACKNABEAL AIRPORT),31/10/2023,4.9,0.0, ,20.2,4.7,93,30,5.24,24.61
KELLALAC (WARRACKNABEAL AIRPORT),01/11/2023,5.2,0.0, ,23.1,2.3,94,33,4.60,25.75
Totals:,,39.6,0, ,,,,,, 
