'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,26/10/2023,3.9,0.0, ,17.4,1.9,92,41,5.79,21.37
MANGALORE AIRPORT,27/10/2023,4.6,0.2, ,20.5,5.0,86,29,2.94,26.38
MANGALORE AIRPORT,28/10/2023,4.8,0.0, ,22.9,2.4,95,32,4.73,19.75
MANGALORE AIRPORT,29/10/2023,7.7,0.0, ,29.3,4.7,91,15,5.60,25.48
MANGALORE AIRPORT,30/10/2023,5.1,0.0, ,23.1,11.2,92,31,5.21,19.86
MANGALORE AIRPORT,31/10/2023,4.6,0.0, ,19.2,4.0,82,33,4.46,25.24
MANGALORE AIRPORT,01/11/2023,4.5,0.0, ,19.3,7.4,83,47,5.60,25.59
Totals:,,35.2,0.2, ,,,,,, 
