'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,26/10/2023,0.7,19.2, ,0.6,-3.6,100,98,4.53,9.42
MOUNT BAW BAW,27/10/2023,2.7,2.0, ,7.6,-2.4,100,62,1.89,26.18
MOUNT BAW BAW,28/10/2023,2.3,0.2, ,9.1,0.5,88,62,3.87,17.23
MOUNT BAW BAW,29/10/2023,4.5,0.0, ,15.4,4.3,73,31,4.39,26.32
MOUNT BAW BAW,30/10/2023,2.7,1.4, ,11.2,4.5,100,44,4.62,16.07
MOUNT BAW BAW,31/10/2023,0.6,13.4, ,1.0,-2.5,100,99,7.01,9.72
MOUNT BAW BAW,01/11/2023,2.2,6.0, ,7.6,-2.0,100,17,2.32,12.49
Totals:,,15.7,42.2, ,,,,,, 
