'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,26/10/2023, , , , , ,99,58,2.40,12.18
SCORESBY RESEARCH INSTITUTE,27/10/2023, , , ,20.9, ,97,45,1.50,26.43
SCORESBY RESEARCH INSTITUTE,28/10/2023,4.1,0.0, ,21.2,6.7,93,42,3.84,21.41
SCORESBY RESEARCH INSTITUTE,29/10/2023, ,0.0, , ,5.8,99,42,1.42,26.77
SCORESBY RESEARCH INSTITUTE,30/10/2023,4.2, , ,22.7,11.9,95,35,2.70,20.30
SCORESBY RESEARCH INSTITUTE,31/10/2023,3.5,3.6, ,17.3,8.0,88,49,3.30,20.50
SCORESBY RESEARCH INSTITUTE,01/11/2023,2.3,0.0, ,15.7,9.7,92,58,1.72,12.66
Totals:,,14.1,3.6, ,,,,,, 
