'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,26/10/2023,4.7,0.0, ,20.5,0.7,94,29,4.78,22.19
WALPEUP RESEARCH,27/10/2023,5.1,0.0, ,24.8,3.8,90,15,2.66,23.24
WALPEUP RESEARCH,28/10/2023,6.8,0.0, ,29.2,10.3,59,12,4.20,18.83
WALPEUP RESEARCH,29/10/2023,7.6,0.0, ,31.5,6.3,92,11,4.53,22.34
WALPEUP RESEARCH,30/10/2023,6.9,0.0, ,26.9,11.3,63,22,5.71,21.13
WALPEUP RESEARCH,31/10/2023,5.0,0.0, ,22.9,5.6,94,21,3.33,23.66
WALPEUP RESEARCH,01/11/2023,5.4,0.0, ,24.3,5.0,85,23,3.49,25.30
Totals:,,41.5,0, ,,,,,, 
