'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,26/10/2023,4.4,0.0, ,18.8,3.3,90,40,5.05,26.41
WANGARATTA AERO,27/10/2023,4.2,0.0, ,20.3,3.3,99,31,2.06,26.70
WANGARATTA AERO,28/10/2023,4.1,0.0, ,22.0,3.2,99,26,2.36,21.25
WANGARATTA AERO,29/10/2023,6.8,0.0, ,29.4,3.6,100,11,3.65,26.17
WANGARATTA AERO,30/10/2023,4.7,0.0, ,23.0,12.5,75,28,4.21,15.32
WANGARATTA AERO,31/10/2023,4.9,0.0, ,18.1,7.5,73,35,5.21,26.92
WANGARATTA AERO,01/11/2023,4.9,0.0, ,22.5,4.7,90,32,3.05,27.49
Totals:,,34,0, ,,,,,, 
