'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARRNAMBOOL AIRPORT NDB Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARRNAMBOOL AIRPORT NDB,26/10/2023,3.0,8.6, ,14.1,5.9,90,59,7.10,19.27
WARRNAMBOOL AIRPORT NDB,27/10/2023,4.1,0.0, ,19.3,8.2,88,50,3.62,25.66
WARRNAMBOOL AIRPORT NDB,28/10/2023,6.2,0.2, ,24.8,6.7,92,30,7.75,21.59
WARRNAMBOOL AIRPORT NDB,29/10/2023,3.5,0.0, ,17.3,2.7,95,55,3.68,24.77
WARRNAMBOOL AIRPORT NDB,30/10/2023,3.1,0.2, ,17.1,8.7,94,58,8.16,15.02
WARRNAMBOOL AIRPORT NDB,31/10/2023,3.3,5.4, ,15.3,7.4,86,59,6.65,20.65
WARRNAMBOOL AIRPORT NDB,01/11/2023,2.6,0.0, ,15.3,6.2,87,61,4.00,14.95
Totals:,,25.8,14.4, ,,,,,, 
