'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 02 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,26/10/2023,4.9,0.0, ,19.9,0.9,99,32,6.31,24.74
YARRAWONGA,27/10/2023,4.0,0.0, ,21.0,1.4,99,26,1.52,26.16
YARRAWONGA,28/10/2023,5.0,0.0, ,23.6,4.2,94,24,4.00,20.93
YARRAWONGA,29/10/2023,7.9,0.0, ,31.0,6.2,85,11,4.64,26.18
YARRAWONGA,30/10/2023,4.7,0.0, ,24.2,13.9,72,26,3.59,14.35
YARRAWONGA,31/10/2023,5.1,0.0, ,20.2,7.1,87,28,4.51,26.43
YARRAWONGA,01/11/2023,5.2,0.0, ,23.4,3.9,98,29,3.70,26.65
Totals:,,36.8,0, ,,,,,, 
