'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBANY AIRPORT Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBANY AIRPORT,01/11/2022,2.8,2.2, ,17.3,11.2,99,71,3.91,18.58
ALBANY AIRPORT,02/11/2022,2.6,3.0, ,16.7,11.2,99,66,2.75,15.94
ALBANY AIRPORT,03/11/2022,4.6,0.0, ,24.4,9.9,97,53,4.39,24.03
ALBANY AIRPORT,04/11/2022,4.4,0.0, ,20.8,13.4,92,51,6.08,22.07
ALBANY AIRPORT,05/11/2022,3.0,0.0, ,17.5,11.3,91,58,3.14,16.62
ALBANY AIRPORT,06/11/2022,2.8,0.0, ,18.3,8.7,88,61,4.66,12.93
ALBANY AIRPORT,07/11/2022,3.2,0.0, ,18.6,13.6,91,66,4.91,17.08
ALBANY AIRPORT,08/11/2022,2.4,0.0, ,18.5,13.5,93,72,4.13,11.38
ALBANY AIRPORT,09/11/2022,3.8,0.0, ,21.1,11.4,97,48,2.57,20.92
ALBANY AIRPORT,10/11/2022,3.7,0.0, ,21.8,8.8,97,52,4.60,17.08
ALBANY AIRPORT,11/11/2022,3.6,12.2, ,16.5,10.5,95,51,5.82,21.23
ALBANY AIRPORT,12/11/2022,2.0,4.4, ,13.4,9.6,97,67,5.36,9.83
ALBANY AIRPORT,13/11/2022,2.8,8.4, ,16.7,10.7,96,53,3.02,14.22
ALBANY AIRPORT,14/11/2022,3.5,0.0, ,18.3,10.9,95,59,2.98,21.81
ALBANY AIRPORT,15/11/2022,4.0,0.2, ,22.8,10.2,98,56,4.17,21.33
ALBANY AIRPORT,16/11/2022,7.4,0.0, ,28.2,11.5,98,23,5.96,28.64
ALBANY AIRPORT,17/11/2022,4.5,0.2, ,21.4,12.5,96,49,7.15,21.66
ALBANY AIRPORT,18/11/2022,2.4,3.8, ,14.0,7.8,98,64,5.96,14.82
ALBANY AIRPORT,19/11/2022,3.3,15.2, ,17.8,6.3,97,58,5.31,18.93
ALBANY AIRPORT,20/11/2022,4.0,2.8, ,18.1,10.4,99,52,3.78,24.95
ALBANY AIRPORT,21/11/2022,4.5,0.0, ,18.9,11.2,85,54,4.47,27.51
ALBANY AIRPORT,22/11/2022,4.6,0.0, ,21.1,9.1,92,59,5.13,29.50
ALBANY AIRPORT,23/11/2022,5.1,0.0, ,27.9,14.8,96,46,4.07,21.13
ALBANY AIRPORT,24/11/2022,2.7,0.6, ,20.0,15.2,97,65,4.27,12.11
ALBANY AIRPORT,25/11/2022,4.1,0.0, ,23.0,9.9,99,55,3.20,22.49
ALBANY AIRPORT,26/11/2022,3.2,0.4, ,18.4,13.3,94,62,3.94,17.17
ALBANY AIRPORT,27/11/2022,3.2,0.0, ,18.1,12.1,95,55,3.08,16.62
ALBANY AIRPORT,28/11/2022,3.6,0.0, ,20.3,12.7,90,60,3.25,19.31
ALBANY AIRPORT,29/11/2022,5.4,0.0, ,23.8,9.1,96,50,4.92,31.25
ALBANY AIRPORT,30/11/2022,8.1,0.0, ,32.8,14.7,97,25,5.88,25.59
Totals:,,115.3,53.4, ,,,,,, 
