'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBANY AIRPORT Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBANY AIRPORT,01/02/2023,5.3,0.4, ,21.5,15.5,78,45,5.77,24.68
ALBANY AIRPORT,02/02/2023,3.1,0.0, ,21.9,11.3,97,61,3.87,14.73
ALBANY AIRPORT,03/02/2023,5.7,0.0, ,24.4,16.2,81,50,6.22,26.81
ALBANY AIRPORT,04/02/2023,7.8,0.0, ,31.8,15.1,93,30,5.88,28.72
ALBANY AIRPORT,05/02/2023,5.8,0.0, ,31.5,16.3,99,32,3.84,20.26
ALBANY AIRPORT,06/02/2023,5.0,0.0, ,27.3,17.9,92,55,4.77,22.33
ALBANY AIRPORT,07/02/2023,3.5,0.0, ,24.9,18.1,95,61,4.13,14.00
ALBANY AIRPORT,08/02/2023,3.6,0.8, ,23.4,17.1,94,55,3.32,15.98
ALBANY AIRPORT,09/02/2023,3.5,0.0, ,22.5,17.4,89,57,3.54,14.63
ALBANY AIRPORT,10/02/2023,6.3,0.0, ,29.1,11.8,97,39,4.96,27.08
ALBANY AIRPORT,11/02/2023,4.4,0.0, ,22.6,14.1,82,44,3.61,20.10
ALBANY AIRPORT,12/02/2023,4.8,0.0, ,23.1,10.8,85,49,3.79,26.16
ALBANY AIRPORT,13/02/2023,6.1,0.0, ,27.6,9.7,95,32,4.39,27.41
ALBANY AIRPORT,14/02/2023, ,0.0, , ,11.4,99,44,4.10,21.95
ALBANY AIRPORT,15/02/2023,4.7, , ,24.3,12.8,97,40,3.31,23.09
ALBANY AIRPORT,16/02/2023,6.2,0.0, ,28.7,9.8,92,32,4.45,25.57
ALBANY AIRPORT,17/02/2023,4.9,0.0, ,26.8,12.6,96,46,4.00,22.26
ALBANY AIRPORT,18/02/2023,5.4,0.0, ,29.1,12.4,95,43,2.83,26.52
ALBANY AIRPORT,19/02/2023,4.6,0.0, ,25.4,11.6,99,53,2.98,26.02
ALBANY AIRPORT,20/02/2023,4.5,0.0, ,25.0,17.2,79,55,6.77,14.32
ALBANY AIRPORT,21/02/2023,7.1,0.0, ,33.4,19.4,90,41,5.32,25.68
ALBANY AIRPORT,22/02/2023,4.4,0.0, ,26.4,15.5,97,53,3.28,21.19
ALBANY AIRPORT,23/02/2023,3.1,4.8, ,20.1,14.4,97,52,5.09,11.88
ALBANY AIRPORT,24/02/2023, ,0.0, , ,8.7,87,45,2.84,21.85
ALBANY AIRPORT,25/02/2023,4.1, , ,23.8,11.2,94,56,3.79,21.68
ALBANY AIRPORT,26/02/2023,5.2,0.0, ,26.2,13.6,91,49,5.00,24.96
ALBANY AIRPORT,27/02/2023,5.0,0.0, ,26.2,16.1,89,53,5.58,22.10
ALBANY AIRPORT,28/02/2023,4.7,0.0, ,24.4,18.1,78,52,6.31,16.22
Totals:,,128.8,6, ,,,,,, 
