'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBANY AIRPORT Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBANY AIRPORT,01/09/2023,3.0,0.0, ,24.3,8.3,99,53,3.69,13.81
ALBANY AIRPORT,02/09/2023,2.7,6.2, ,19.2,9.8,99,57,6.36,12.41
ALBANY AIRPORT,03/09/2023,2.0,15.0, ,12.8,7.2,98,63,7.08,12.76
ALBANY AIRPORT,04/09/2023,2.1,9.6, ,15.9,6.8,99,65,5.94,13.22
ALBANY AIRPORT,05/09/2023,3.2,2.6, ,20.2,8.9,97,52,6.90,14.05
ALBANY AIRPORT,06/09/2023,2.7,5.8, ,14.4,8.6,97,50,6.22,16.18
ALBANY AIRPORT,07/09/2023,2.4,0.6, ,16.2,3.5,99,50,2.73,17.85
ALBANY AIRPORT,08/09/2023,3.3,0.0, ,20.9,5.3,97,35,3.06,17.65
ALBANY AIRPORT,09/09/2023,3.9,0.2, ,23.1,10.7,97,34,4.90,12.47
ALBANY AIRPORT,10/09/2023,3.1,0.0, ,20.7,7.1,99,50,4.00,16.93
ALBANY AIRPORT,11/09/2023,3.3,0.0, ,22.7,7.3,99,55,4.26,18.72
ALBANY AIRPORT,12/09/2023,2.8,0.0, ,22.2,9.8,99,61,4.29,14.54
ALBANY AIRPORT,13/09/2023,2.5,0.0, ,19.6,10.1,99,65,7.45,11.31
ALBANY AIRPORT,14/09/2023,3.3,11.4, ,19.6,8.2,94,57,8.09,16.97
ALBANY AIRPORT,15/09/2023,3.8,0.0, ,22.5,13.8,96,51,7.02,15.76
ALBANY AIRPORT,16/09/2023,1.9,1.6, ,17.0,12.5,99,74,3.01,12.04
ALBANY AIRPORT,17/09/2023,3.0,2.6, ,17.9,7.2,99,49,4.42,17.68
ALBANY AIRPORT,18/09/2023,3.3,0.2, ,19.2,8.2,89,56,7.34,15.64
ALBANY AIRPORT,19/09/2023,2.5,0.0, ,17.7,12.3,95,66,6.19,12.57
ALBANY AIRPORT,20/09/2023,2.4,1.4, ,18.4,11.7,99,63,3.30,13.78
ALBANY AIRPORT,21/09/2023,3.6,0.2, ,24.1,7.4,99,52,3.02,20.45
ALBANY AIRPORT,22/09/2023,3.0,0.2, ,23.7,10.3,100,67,2.58,18.28
ALBANY AIRPORT,23/09/2023,2.8,0.6, ,19.1,13.2,99,58,3.83,15.48
ALBANY AIRPORT,24/09/2023,2.8,3.2, ,17.5,6.3,99,55,3.02,18.65
ALBANY AIRPORT,25/09/2023,3.6,0.0, ,22.7,7.8,95,54,3.99,19.52
ALBANY AIRPORT,26/09/2023,3.9,0.0, ,23.8,6.0,99,37,2.65,21.59
ALBANY AIRPORT,27/09/2023,5.0,0.0, ,29.0,6.0,99,31,3.07,21.78
ALBANY AIRPORT,28/09/2023,3.6,0.0, ,21.8,11.6,99,49,2.70,21.69
ALBANY AIRPORT,29/09/2023,3.2,0.0, ,20.9,8.1,99,61,3.00,21.16
ALBANY AIRPORT,30/09/2023,3.4,0.8, ,18.6,10.8,95,53,5.43,18.47
Totals:,,92.1,62.2, ,,,,,, 
