'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARGYLE AERODROME Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARGYLE AERODROME,01/02/2023,4.5,3.0, ,33.5,24.8,92,60,2.24,17.50
ARGYLE AERODROME,02/02/2023,7.1,1.2, ,35.5,25.7,92,33,2.65,27.88
ARGYLE AERODROME,03/02/2023,7.6,0.2, ,38.3,25.1,84,23,2.45,28.73
ARGYLE AERODROME,04/02/2023,7.6,0.0, ,36.6,23.8,76,27,2.69,28.93
ARGYLE AERODROME,05/02/2023,5.9,0.0, ,34.4,23.8,82,34,2.51,21.09
ARGYLE AERODROME,06/02/2023,7.2,0.0, ,36.1,23.1,74,21,2.19,28.96
ARGYLE AERODROME,07/02/2023,7.2,0.0, ,37.6,23.8,77,21,1.99,28.92
ARGYLE AERODROME,08/02/2023,8.0,0.0, ,40.4,26.1,60,23,2.35,28.86
ARGYLE AERODROME,09/02/2023,7.2,0.0, ,37.7,27.1,74,34,3.11,24.13
ARGYLE AERODROME,10/02/2023,7.2,0.0, ,38.8,26.0,84,27,2.10,27.76
ARGYLE AERODROME,11/02/2023,5.9,0.0, ,36.5,27.6,90,41,2.82,20.24
ARGYLE AERODROME,12/02/2023,5.8,3.2, ,35.5,24.7,93,45,2.87,21.13
ARGYLE AERODROME,13/02/2023,7.0,10.0, ,36.4,24.6,92,33,2.36,28.50
ARGYLE AERODROME,14/02/2023,7.2,0.0, ,38.1,24.8,85,27,2.06,28.60
ARGYLE AERODROME,15/02/2023,7.3,0.0, ,38.4,25.9,84,21,2.06,28.55
ARGYLE AERODROME,16/02/2023,7.6,0.0, ,39.8,24.9,67,18,2.22,27.74
ARGYLE AERODROME,17/02/2023,7.5,0.0, ,40.0,26.8,71,23,2.27,26.71
ARGYLE AERODROME,18/02/2023,7.6,0.0, ,40.4,26.3,77,22,2.52,26.29
ARGYLE AERODROME,19/02/2023,5.4,0.4, ,35.1,25.8,86,50,2.54,19.95
ARGYLE AERODROME,20/02/2023,4.4,3.8, ,32.8,24.0,92,55,2.58,16.66
ARGYLE AERODROME,21/02/2023,4.5,0.2, ,32.2,24.1,93,56,2.60,17.48
ARGYLE AERODROME,22/02/2023,4.3,50.6, ,31.3,23.1,94,59,2.16,18.43
ARGYLE AERODROME,23/02/2023,4.7,6.6, ,31.0,23.8,94,61,2.53,20.35
ARGYLE AERODROME,24/02/2023,3.9,11.4, ,30.1,23.8,94,70,2.55,16.83
ARGYLE AERODROME,25/02/2023,3.4,24.2, ,28.6,24.4,94,79,2.68,15.12
ARGYLE AERODROME,26/02/2023,4.6,46.2, ,31.5,23.4,95,62,2.91,19.10
ARGYLE AERODROME,27/02/2023,4.6,3.4, ,31.8,24.5,93,59,2.46,18.86
ARGYLE AERODROME,28/02/2023,2.0,20.6, ,29.7,23.9,94,80,2.84,6.12
Totals:,,167.2,185, ,,,,,, 
