'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARGYLE AERODROME Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARGYLE AERODROME,01/05/2023,4.6,0.0, ,31.9,20.4,69,30,1.65,21.32
ARGYLE AERODROME,02/05/2023,5.1,0.0, ,32.5,21.2,69,26,2.16,21.24
ARGYLE AERODROME,03/05/2023,5.4,0.0, ,31.3,16.9,62,22,2.73,21.12
ARGYLE AERODROME,04/05/2023,5.0,0.0, ,32.0,17.5,58,19,2.11,21.02
ARGYLE AERODROME,05/05/2023,5.1,0.0, ,32.9,18.4,56,26,2.28,20.86
ARGYLE AERODROME,06/05/2023,5.8,0.0, ,34.5,20.3,64,25,2.88,20.65
ARGYLE AERODROME,07/05/2023,5.9,0.0, ,32.0,21.1,61,22,3.25,20.68
ARGYLE AERODROME,08/05/2023,6.2,0.0, ,30.4,18.0,50,23,3.93,20.58
ARGYLE AERODROME,09/05/2023,5.7,0.0, ,27.7,16.6,47,18,3.62,20.48
ARGYLE AERODROME,10/05/2023,5.5,0.0, ,28.3,14.4,43,14,3.16,20.32
ARGYLE AERODROME,11/05/2023,5.1,0.0, ,29.9,13.4,51,13,2.57,20.30
ARGYLE AERODROME,12/05/2023,5.6,0.0, ,30.0,14.0,45,13,3.09,20.17
ARGYLE AERODROME,13/05/2023,4.7,0.0, ,30.9,14.1,50,16,2.06,20.09
ARGYLE AERODROME,14/05/2023, ,0.0, , ,15.3,57,19,2.10,19.97
ARGYLE AERODROME,15/05/2023, , , , , , , , ,19.80
ARGYLE AERODROME,16/05/2023, , , , , , , , ,19.76
ARGYLE AERODROME,17/05/2023, , , , , ,58,24,2.33,19.72
ARGYLE AERODROME,18/05/2023, , , ,28.9, , , , ,19.63
ARGYLE AERODROME,19/05/2023,5.2,0.0, ,28.9,13.9,55,18,3.12,19.58
ARGYLE AERODROME,20/05/2023,5.3,0.0, ,27.1,13.9,51,20,3.56,19.52
ARGYLE AERODROME,21/05/2023,5.1,0.0, ,25.5,11.0,54,17,3.61,19.41
ARGYLE AERODROME,22/05/2023,5.0,0.0, ,26.9,10.5,54,15,3.12,19.34
ARGYLE AERODROME,23/05/2023,4.8,0.0, ,29.3,13.1,48,21,2.57,19.27
ARGYLE AERODROME,24/05/2023,4.4,0.0, ,30.4,14.0,54,19,2.05,19.21
ARGYLE AERODROME,25/05/2023,4.7,0.0, ,30.4,15.5,57,13,2.33,19.16
ARGYLE AERODROME,26/05/2023,5.4,0.0, ,31.5,15.8,51,25,3.24,19.09
ARGYLE AERODROME,27/05/2023,4.7,0.0, ,27.5,15.4,56,20,2.84,19.02
ARGYLE AERODROME,28/05/2023,4.5,0.0, ,26.3,13.5,45,16,2.61,19.03
ARGYLE AERODROME,29/05/2023,4.9,0.0, ,27.0,11.4,48,16,3.10,18.89
ARGYLE AERODROME,30/05/2023,4.7,0.0, ,27.6,11.0,50,16,2.76,18.83
ARGYLE AERODROME,31/05/2023,4.4,0.0, ,28.9,11.2,56,15,2.29,18.79
Totals:,,132.8,0, ,,,,,, 
