'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/01/2023,9.8,0.0, ,32.3,14.4,87,19,8.01,30.02
BADGINGARRA RESEARCH STN,02/01/2023,11.1,0.0, ,35.6,15.6,89,16,8.30,29.87
BADGINGARRA RESEARCH STN,03/01/2023,12.5,0.0, ,35.9,17.7,57,13,8.99,29.24
BADGINGARRA RESEARCH STN,04/01/2023,12.7,0.0, ,38.0,19.8,55,14,8.10,29.82
BADGINGARRA RESEARCH STN,05/01/2023,12.4,0.0, ,40.2,22.0,32,11,5.93,29.86
BADGINGARRA RESEARCH STN,06/01/2023,12.4,0.0, ,37.9,23.9,81,13,8.88,29.11
BADGINGARRA RESEARCH STN,07/01/2023,8.6,0.0, ,29.4,12.1,86,23,7.71,29.59
BADGINGARRA RESEARCH STN,08/01/2023,10.1,0.0, ,33.9,14.0,92,17,7.59,29.69
BADGINGARRA RESEARCH STN,09/01/2023,12.2,0.0, ,40.9,16.6,91,14,7.28,26.91
BADGINGARRA RESEARCH STN,10/01/2023,6.0,0.0, ,28.6,18.0,95,44,5.60,23.93
BADGINGARRA RESEARCH STN,11/01/2023,7.3,0.0, ,29.8,13.4,88,32,5.18,29.45
BADGINGARRA RESEARCH STN,12/01/2023,8.8,0.0, ,34.7,12.2,94,17,4.77,29.59
BADGINGARRA RESEARCH STN,13/01/2023,8.8,0.0, ,31.5,17.0,93,32,9.19,29.18
BADGINGARRA RESEARCH STN,14/01/2023,10.4,0.0, ,32.7,17.4,88,17,9.22,29.29
BADGINGARRA RESEARCH STN,15/01/2023,12.1,0.0, ,37.8,18.0,72,19,8.87,28.04
BADGINGARRA RESEARCH STN,16/01/2023,7.9,0.0, ,26.6,16.2,86,33,10.93,28.86
BADGINGARRA RESEARCH STN,17/01/2023,9.1,0.0, ,30.3,13.9,77,20,7.71,28.99
BADGINGARRA RESEARCH STN,18/01/2023,11.3,0.0, ,34.9,14.4,58,16,7.96,28.81
BADGINGARRA RESEARCH STN,19/01/2023,11.0,0.0, ,39.4,21.5,71,21,6.77,26.53
BADGINGARRA RESEARCH STN,20/01/2023,7.2,0.0, ,36.7,19.6,83,30,3.92,21.42
BADGINGARRA RESEARCH STN,21/01/2023,8.8,7.8, ,38.7,19.9,87,18,4.37,25.03
BADGINGARRA RESEARCH STN,22/01/2023,7.3,0.0, ,34.2,19.6,93,36,3.75,28.62
BADGINGARRA RESEARCH STN,23/01/2023,8.4,0.0, ,36.5,18.0,91,28,4.37,28.83
BADGINGARRA RESEARCH STN,24/01/2023,8.6,0.0, ,36.3,17.9,100,27,5.20,28.20
BADGINGARRA RESEARCH STN,25/01/2023,9.4,0.0, ,35.1,17.5,91,21,6.18,28.87
BADGINGARRA RESEARCH STN,26/01/2023,10.6,0.0, ,38.0,18.5,67,21,6.43,27.82
BADGINGARRA RESEARCH STN,27/01/2023,9.8,0.0, ,31.9,16.9,91,19,9.40,28.18
BADGINGARRA RESEARCH STN,28/01/2023,9.2,0.0, ,35.3,15.7,85,21,5.80,27.74
BADGINGARRA RESEARCH STN,29/01/2023,9.4,0.0, ,38.7,18.1,72,18,5.51,20.17
BADGINGARRA RESEARCH STN,30/01/2023,8.3,1.2, ,39.6,22.6,82,24,4.27,21.97
BADGINGARRA RESEARCH STN,31/01/2023,8.2,7.8, ,36.1,19.9,88,30,4.96,26.51
Totals:,,299.7,16.8, ,,,,,, 
