'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/04/2023,3.4,0.0, ,26.8,17.9,93,56,3.47,13.64
BADGINGARRA RESEARCH STN,02/04/2023,4.6,0.0, ,28.4,15.7,95,42,3.86,19.51
BADGINGARRA RESEARCH STN,03/04/2023,5.7,0.0, ,29.4,15.8,91,35,5.47,19.84
BADGINGARRA RESEARCH STN,04/04/2023,4.9,0.0, ,26.1,14.4,93,37,5.92,17.43
BADGINGARRA RESEARCH STN,05/04/2023,4.7,0.0, ,24.9,9.7,90,32,4.47,19.80
BADGINGARRA RESEARCH STN,06/04/2023,5.1,0.0, ,26.7,12.9,90,27,4.40,19.54
BADGINGARRA RESEARCH STN,07/04/2023,3.9,0.0, ,24.8,15.9,91,44,4.45,15.13
BADGINGARRA RESEARCH STN,08/04/2023,3.9,0.0, ,23.4,10.2,87,44,4.79,16.25
BADGINGARRA RESEARCH STN,09/04/2023,3.6,0.0, ,24.6,9.7,95,41,3.16,16.87
BADGINGARRA RESEARCH STN,10/04/2023,3.8,0.0, ,24.9,8.3,100,40,4.28,14.34
BADGINGARRA RESEARCH STN,11/04/2023,3.5,5.6, ,23.3,10.7,94,48,3.78,18.05
BADGINGARRA RESEARCH STN,12/04/2023,3.2,0.0, ,25.3,10.6,100,45,2.37,15.68
BADGINGARRA RESEARCH STN,13/04/2023,4.3,0.0, ,26.1,9.6,100,39,5.07,16.32
BADGINGARRA RESEARCH STN,14/04/2023,3.8,4.8, ,19.0,9.8,94,38,7.14,14.53
BADGINGARRA RESEARCH STN,15/04/2023,2.4,0.0, ,19.4,8.6,95,53,2.44,13.47
BADGINGARRA RESEARCH STN,16/04/2023,3.5,0.0, ,24.6,8.6,100,37,3.07,15.47
BADGINGARRA RESEARCH STN,17/04/2023,4.2,0.2, ,26.2,13.0,90,37,4.26,16.09
BADGINGARRA RESEARCH STN,18/04/2023,4.6,0.0, ,24.9,12.6,91,36,5.75,17.71
BADGINGARRA RESEARCH STN,19/04/2023,6.0,0.0, ,26.6,12.3,64,25,6.05,17.60
BADGINGARRA RESEARCH STN,20/04/2023,5.5,0.0, ,26.1,12.1,55,21,4.74,17.48
BADGINGARRA RESEARCH STN,21/04/2023,5.0,0.0, ,27.8,11.9,55,25,3.78,15.71
BADGINGARRA RESEARCH STN,22/04/2023,5.5,0.0, ,29.6,14.6,55,17,3.79,17.13
BADGINGARRA RESEARCH STN,23/04/2023,5.8,0.0, ,31.7,14.6,92,17,4.32,16.99
BADGINGARRA RESEARCH STN,24/04/2023,2.1,2.8, ,16.7,13.4,100,64,4.64,11.69
BADGINGARRA RESEARCH STN,25/04/2023,2.8,1.2, ,18.9,5.2,94,41,3.61,14.30
BADGINGARRA RESEARCH STN,26/04/2023,3.1,1.2, ,22.6,10.1,95,53,4.73,14.33
BADGINGARRA RESEARCH STN,27/04/2023,3.2,0.0, ,23.1,8.1,100,49,4.37,15.87
BADGINGARRA RESEARCH STN,28/04/2023,4.1,0.0, ,20.2,8.4,78,30,5.64,16.21
BADGINGARRA RESEARCH STN,29/04/2023,4.5,0.0, ,23.1,8.0,71,23,4.61,16.15
BADGINGARRA RESEARCH STN,30/04/2023,4.6,0.0, ,24.3,11.0,78,23,4.65,16.01
Totals:,,125.3,15.8, ,,,,,, 
