'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/01/2023,8.5,0.0, ,32.0,26.3,84,52,10.81,30.41
BARROW ISLAND AIRPORT,02/01/2023,7.0,0.0, ,29.8,23.9,84,63,11.93,28.51
BARROW ISLAND AIRPORT,03/01/2023,6.9,0.0, ,29.9,24.3,86,64,10.80,29.31
BARROW ISLAND AIRPORT,04/01/2023,6.7,0.0, ,30.0,24.7,86,65,10.81,27.77
BARROW ISLAND AIRPORT,05/01/2023,6.4,0.0, ,29.5,24.7,84,65,10.92,24.88
BARROW ISLAND AIRPORT,06/01/2023,6.5,0.0, ,29.2,24.0,86,67,12.14,28.60
BARROW ISLAND AIRPORT,07/01/2023,6.4,0.0, ,28.9,23.5,88,67,12.01,29.66
BARROW ISLAND AIRPORT,08/01/2023,7.0,0.0, ,30.3,23.6,91,60,10.64,30.21
BARROW ISLAND AIRPORT,09/01/2023,7.0,0.0, ,30.5,23.8,90,57,7.69,30.21
BARROW ISLAND AIRPORT,10/01/2023,6.4,0.0, ,30.3,22.2,94,63,6.79,30.24
BARROW ISLAND AIRPORT,11/01/2023,7.2,0.0, ,31.1,24.2,91,57,8.49,30.26
BARROW ISLAND AIRPORT,12/01/2023,8.7,0.0, ,33.5,24.7,88,45,8.93,30.23
BARROW ISLAND AIRPORT,13/01/2023,9.4,0.0, ,33.8,26.4,81,47,11.03,30.18
BARROW ISLAND AIRPORT,14/01/2023,10.6,0.0, ,38.1,26.6,82,33,7.99,30.14
BARROW ISLAND AIRPORT,15/01/2023,6.9,0.0, ,31.9,25.0,89,61,5.97,29.96
BARROW ISLAND AIRPORT,16/01/2023,7.2,0.0, ,34.2,25.9,89,53,4.70,28.44
BARROW ISLAND AIRPORT,17/01/2023,7.5,0.0, ,32.8,25.4,87,55,6.13,30.05
BARROW ISLAND AIRPORT,18/01/2023, ,0.0, , ,26.0,84,56,5.41,28.12
BARROW ISLAND AIRPORT,19/01/2023, , , ,32.9, ,87,59,4.42,20.55
BARROW ISLAND AIRPORT,20/01/2023,6.3,9.4, ,32.8,24.3,95,61,5.23,26.60
BARROW ISLAND AIRPORT,21/01/2023,5.3,4.0, ,31.5,24.1,94,68,4.80,22.96
BARROW ISLAND AIRPORT,22/01/2023,6.9,0.2, ,33.4,25.7,92,50,3.66,28.44
BARROW ISLAND AIRPORT,23/01/2023,6.4,0.0, ,33.2,25.5,88,60,4.02,26.41
BARROW ISLAND AIRPORT,24/01/2023,6.8,0.0, ,32.7,26.1,89,59,5.83,27.46
BARROW ISLAND AIRPORT,25/01/2023,6.9,0.0, ,33.9,27.4,86,56,5.17,25.69
BARROW ISLAND AIRPORT,26/01/2023,7.0,0.0, ,32.6,27.2,88,65,5.63,29.68
BARROW ISLAND AIRPORT,27/01/2023,8.6,0.0, ,36.4,27.6,90,47,6.90,29.28
BARROW ISLAND AIRPORT,28/01/2023,7.4,0.0, ,32.6,27.7,84,62,7.10,29.58
BARROW ISLAND AIRPORT,29/01/2023,7.9,0.0, ,33.1,26.4,86,49,6.53,29.43
BARROW ISLAND AIRPORT,30/01/2023,7.7,0.0, ,34.5,26.6,85,48,5.42,27.99
BARROW ISLAND AIRPORT,31/01/2023,8.5,0.0, ,36.0,28.3,76,46,5.87,27.58
Totals:,,212,13.6, ,,,,,, 
