'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/03/2023,7.1,0.0, ,34.4,28.0,88,59,7.07,26.02
BARROW ISLAND AIRPORT,02/03/2023,7.1,0.0, ,34.4,26.7,87,57,5.75,26.94
BARROW ISLAND AIRPORT,03/03/2023,6.8,0.0, ,34.2,27.8,88,60,6.18,25.50
BARROW ISLAND AIRPORT,04/03/2023,6.8,0.0, ,33.2,27.5,88,63,7.00,26.39
BARROW ISLAND AIRPORT,05/03/2023,7.3,0.0, ,35.7,27.7,88,52,5.05,26.61
BARROW ISLAND AIRPORT,06/03/2023,7.4,0.0, ,37.6,27.0,90,44,3.97,26.57
BARROW ISLAND AIRPORT,07/03/2023,7.2,3.6, ,35.2,27.6,92,55,6.46,26.35
BARROW ISLAND AIRPORT,08/03/2023,6.9,0.0, ,35.4,27.8,88,55,4.45,26.22
BARROW ISLAND AIRPORT,09/03/2023,6.9,0.0, ,34.9,26.5,87,56,5.05,26.15
BARROW ISLAND AIRPORT,10/03/2023,7.9,0.0, ,35.8,27.2,88,49,7.24,26.07
BARROW ISLAND AIRPORT,11/03/2023,8.7,0.0, ,34.1,29.3,79,43,8.20,25.93
BARROW ISLAND AIRPORT,12/03/2023,6.8,0.0, ,32.6,27.3,92,56,7.44,25.79
BARROW ISLAND AIRPORT,13/03/2023,6.8,0.0, ,34.9,25.9,94,47,4.33,25.69
BARROW ISLAND AIRPORT,14/03/2023,6.5,0.0, ,35.4,24.7,93,56,4.56,25.54
BARROW ISLAND AIRPORT,15/03/2023,6.9,0.0, ,36.8,25.1,94,50,4.42,25.46
BARROW ISLAND AIRPORT,16/03/2023,6.8,0.0, ,34.3,25.5,93,53,6.00,25.34
BARROW ISLAND AIRPORT,17/03/2023,8.1,0.0, ,34.8,27.6,82,51,8.67,25.11
BARROW ISLAND AIRPORT,18/03/2023,7.9,0.0, ,33.2,27.4,71,57,8.79,25.09
BARROW ISLAND AIRPORT,19/03/2023,8.2,0.0, ,34.1,28.0,76,50,8.46,24.98
BARROW ISLAND AIRPORT,20/03/2023,7.0,0.0, ,33.5,27.7,86,54,7.09,24.44
BARROW ISLAND AIRPORT,21/03/2023,5.8,0.0, ,34.9,26.0,91,57,3.68,22.80
BARROW ISLAND AIRPORT,22/03/2023,7.2,0.8, ,35.9,27.3,93,40,4.90,24.48
BARROW ISLAND AIRPORT,23/03/2023,6.8,0.0, ,37.9,25.9,87,42,3.25,24.49
BARROW ISLAND AIRPORT,24/03/2023,6.6,0.0, ,35.8,26.4,84,44,3.45,24.31
BARROW ISLAND AIRPORT,25/03/2023,4.5,0.0, ,33.0,26.8,87,58,2.44,17.40
BARROW ISLAND AIRPORT,26/03/2023,4.8,4.0, ,31.8,26.3,89,65,3.53,19.48
BARROW ISLAND AIRPORT,27/03/2023,3.4,0.2, ,31.2,27.1,86,52,3.27,8.12
BARROW ISLAND AIRPORT,28/03/2023,1.9,0.0, ,28.4,25.3,90,75,2.04,5.62
BARROW ISLAND AIRPORT,29/03/2023,2.3,9.4, ,29.1,23.4,96,75,7.76,3.04
BARROW ISLAND AIRPORT,30/03/2023,5.3,28.4, ,31.8,23.0,93,60,4.64,22.75
BARROW ISLAND AIRPORT,31/03/2023,3.6,0.0, ,31.1,24.4,93,64,2.31,14.92
Totals:,,197.3,46.4, ,,,,,, 
