'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/04/2023,4.8,13.0, ,30.7,25.3,93,70,4.41,22.06
BARROW ISLAND AIRPORT,02/04/2023,4.2,0.2, ,31.4,25.0,93,69,2.16,19.33
BARROW ISLAND AIRPORT,03/04/2023,4.7,0.0, ,32.8,26.7,91,62,3.41,18.29
BARROW ISLAND AIRPORT,04/04/2023,5.3,0.0, ,32.3,26.9,89,60,4.49,20.49
BARROW ISLAND AIRPORT,05/04/2023,6.2,0.0, ,31.9,27.5,81,57,5.75,22.50
BARROW ISLAND AIRPORT,06/04/2023,6.3,0.0, ,31.4,27.0,80,56,6.29,22.93
BARROW ISLAND AIRPORT,07/04/2023,6.7,0.0, ,30.6,26.5,81,50,7.47,22.64
BARROW ISLAND AIRPORT,08/04/2023,6.9,0.0, ,29.3,24.9,73,51,8.50,22.49
BARROW ISLAND AIRPORT,09/04/2023,6.7,0.0, ,28.6,24.2,77,46,7.86,22.53
BARROW ISLAND AIRPORT,10/04/2023,7.2,0.0, ,28.4,24.2,72,50,11.02,22.35
BARROW ISLAND AIRPORT,11/04/2023,6.6,0.0, ,29.2,23.2,83,50,10.04,22.34
BARROW ISLAND AIRPORT,12/04/2023,6.0,0.0, ,32.3,24.3,84,46,4.91,21.21
BARROW ISLAND AIRPORT,13/04/2023,5.4,0.0, ,29.2,25.6,87,55,7.46,17.96
BARROW ISLAND AIRPORT,14/04/2023,7.4,0.0, ,28.2,22.9,71,49,12.44,21.82
BARROW ISLAND AIRPORT,15/04/2023,6.6,0.0, ,27.6,22.1,70,40,7.21,21.81
BARROW ISLAND AIRPORT,16/04/2023,6.5,0.0, ,27.4,20.1,74,39,7.68,21.69
BARROW ISLAND AIRPORT,17/04/2023,5.6,0.0, ,28.6,19.4,87,35,4.65,21.57
BARROW ISLAND AIRPORT,18/04/2023,5.0,0.0, ,29.9,19.0,82,38,3.09,21.44
BARROW ISLAND AIRPORT,19/04/2023, ,0.0, , ,20.4,86,38,5.21,21.25
BARROW ISLAND AIRPORT,20/04/2023, , , ,28.2, ,86,43,7.61,21.19
BARROW ISLAND AIRPORT,21/04/2023,5.9,0.0, ,27.8,20.8,81,45,7.23,20.82
BARROW ISLAND AIRPORT,22/04/2023,5.4,0.0, ,28.6,20.9,88,47,5.82,20.90
BARROW ISLAND AIRPORT,23/04/2023,5.3,0.0, ,30.6,23.9,88,51,4.84,20.80
BARROW ISLAND AIRPORT,24/04/2023,4.7,0.0, ,30.9,23.1,92,55,3.56,20.39
BARROW ISLAND AIRPORT,25/04/2023,6.1,0.0, ,27.7,23.7,78,53,9.81,19.47
BARROW ISLAND AIRPORT,26/04/2023,5.9,0.0, ,27.8,22.3,76,48,7.46,19.46
BARROW ISLAND AIRPORT,27/04/2023,4.2,0.0, ,28.2,21.5,82,38,3.07,15.20
BARROW ISLAND AIRPORT,28/04/2023,4.0,0.0, ,29.3,24.2,85,44,3.11,14.02
BARROW ISLAND AIRPORT,29/04/2023,5.5,0.0, ,29.8,23.4,89,42,5.55,20.08
BARROW ISLAND AIRPORT,30/04/2023,5.1,0.0, ,26.9,23.3,87,38,5.92,16.08
Totals:,,160.2,13.2, ,,,,,, 
