'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/06/2023,4.3,0.0, ,26.2,16.9,87,48,5.74,17.22
BARROW ISLAND AIRPORT,02/06/2023,4.8,0.0, ,25.7,21.1,73,50,6.39,17.14
BARROW ISLAND AIRPORT,03/06/2023,4.5,0.0, ,24.0,20.1,69,50,5.83,17.10
BARROW ISLAND AIRPORT,04/06/2023,3.9,0.0, ,25.6,15.7,74,52,4.80,14.33
BARROW ISLAND AIRPORT,05/06/2023,3.8,0.0, ,24.0,18.4,88,53,6.00,15.58
BARROW ISLAND AIRPORT,06/06/2023,3.9,0.0, ,23.6,19.4,90,55,6.94,16.82
BARROW ISLAND AIRPORT,07/06/2023,4.8,0.0, ,23.7,19.1,71,47,6.95,16.84
BARROW ISLAND AIRPORT,08/06/2023,4.3,0.0, ,24.1,18.9,73,52,5.83,16.88
BARROW ISLAND AIRPORT,09/06/2023,3.6,0.0, ,24.4,16.1,87,49,4.29,16.84
BARROW ISLAND AIRPORT,10/06/2023,3.7,0.0, ,25.3,18.6,85,46,3.81,16.79
BARROW ISLAND AIRPORT,11/06/2023,5.1,0.0, ,24.5,19.0,73,47,8.05,16.80
BARROW ISLAND AIRPORT,12/06/2023,4.5,0.0, ,24.7,20.1,74,44,5.55,16.77
BARROW ISLAND AIRPORT,13/06/2023,4.0,0.0, ,24.0,17.2,85,52,6.30,16.75
BARROW ISLAND AIRPORT,14/06/2023,4.4,0.0, ,26.3,17.6,88,35,4.81,16.74
BARROW ISLAND AIRPORT,15/06/2023,3.5,0.0, ,24.5,18.5,89,51,4.96,14.18
BARROW ISLAND AIRPORT,16/06/2023,3.2,0.0, ,26.2,18.8,84,53,2.95,14.87
BARROW ISLAND AIRPORT,17/06/2023,2.9,0.0, ,23.1,20.0,86,51,4.17,7.78
BARROW ISLAND AIRPORT,18/06/2023,3.1,0.0, ,21.6,18.3,93,50,6.98,6.81
BARROW ISLAND AIRPORT,19/06/2023, ,0.0, , ,16.9,94,65,8.26,10.51
BARROW ISLAND AIRPORT,20/06/2023,2.7, , ,22.2,18.4,100,64,5.67,13.47
BARROW ISLAND AIRPORT,21/06/2023,5.0,0.0, ,22.3,18.6,71,49,9.31,16.79
BARROW ISLAND AIRPORT,22/06/2023,3.9,0.0, ,21.0,17.3,81,47,6.29,16.80
BARROW ISLAND AIRPORT,23/06/2023,3.3,0.0, ,22.5,14.1,85,55,4.65,16.81
BARROW ISLAND AIRPORT,24/06/2023,4.2,0.0, ,22.3,15.1,75,45,6.14,16.83
BARROW ISLAND AIRPORT,25/06/2023,2.8,0.0, ,22.7,13.9,84,55,2.68,16.47
BARROW ISLAND AIRPORT,26/06/2023,5.3,0.0, ,22.8,15.7,62,44,8.80,16.84
BARROW ISLAND AIRPORT,27/06/2023,4.8,0.0, ,21.7,16.0,71,42,7.72,16.86
BARROW ISLAND AIRPORT,28/06/2023,4.1,0.0, ,20.8,15.3,84,35,5.99,16.87
BARROW ISLAND AIRPORT,29/06/2023,4.5,0.0, ,21.0,13.0,74,40,7.48,16.89
BARROW ISLAND AIRPORT,30/06/2023,4.9,0.0, ,21.3,15.0,73,37,8.00,16.91
Totals:,,117.8,0, ,,,,,, 
