'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEDOUT ISLAND Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEDOUT ISLAND,01/09/2022, , , , , ,100,74,5.10,22.31
BEDOUT ISLAND,02/09/2022, , , ,26.6, ,100,79,6.78,17.70
BEDOUT ISLAND,03/09/2022, , , , ,22.7,100,100,5.26,8.21
BEDOUT ISLAND,04/09/2022,5.2, , ,25.3,19.5,100,25,4.03,22.98
BEDOUT ISLAND,05/09/2022,3.5, , ,26.8,21.1,100,84,6.50,21.70
BEDOUT ISLAND,06/09/2022,4.9, , ,27.1,21.9,100,60,8.95,23.13
BEDOUT ISLAND,07/09/2022,4.5, , ,26.4,20.5,98,65,6.56,23.24
BEDOUT ISLAND,08/09/2022, , , , ,19.8,99,69,5.83,23.39
BEDOUT ISLAND,09/09/2022, , , ,26.3, ,100,83,3.39,21.17
BEDOUT ISLAND,10/09/2022,4.5, , ,26.7,21.6,99,69,8.89,23.59
BEDOUT ISLAND,11/09/2022, , , , ,21.3,100,77,4.08,23.69
BEDOUT ISLAND,12/09/2022, , , , , ,100,86,3.37,23.79
BEDOUT ISLAND,13/09/2022,4.2, , ,28.0,22.3,100,77,6.95,23.77
BEDOUT ISLAND,14/09/2022,4.7, , ,29.5,22.4,100,72,6.92,24.04
BEDOUT ISLAND,15/09/2022,4.7, , ,28.2,21.3,100,66,5.95,24.09
BEDOUT ISLAND,16/09/2022,5.0, , ,28.5,21.3,100,58,4.99,24.19
BEDOUT ISLAND,17/09/2022, , , , ,21.6,100,71,5.42,24.29
BEDOUT ISLAND,18/09/2022,4.4, , ,28.6,21.8,100,76,5.22,24.46
BEDOUT ISLAND,19/09/2022,3.5, , ,27.3,23.1,100,90,9.33,24.57
BEDOUT ISLAND,20/09/2022,5.1, , ,27.0,20.5,100,58,7.91,24.57
BEDOUT ISLAND,21/09/2022, , , , ,21.1,100,64,5.01,24.81
BEDOUT ISLAND,22/09/2022, , , , , ,100,74,5.03,24.95
BEDOUT ISLAND,23/09/2022, , , , , ,100,85,5.86,25.17
BEDOUT ISLAND,24/09/2022,4.2, , ,29.5,24.3,100,85,8.47,25.22
BEDOUT ISLAND,25/09/2022,3.5, , ,29.3,23.7,100,100,7.23,25.37
BEDOUT ISLAND,26/09/2022,4.7, , ,29.3,22.1,100,75,5.67,25.40
BEDOUT ISLAND,27/09/2022,5.3, , ,28.7,23.0,100,62,7.37,25.49
BEDOUT ISLAND,28/09/2022,4.9, , ,29.8,21.6,100,72,4.93,25.70
BEDOUT ISLAND,29/09/2022,3.9, , ,28.2,22.1,100,93,4.33,24.44
BEDOUT ISLAND,30/09/2022,4.1, , ,27.7,23.2,100,87,5.05,24.68
Totals:,,84.8, , ,,,,,, 
