'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEDOUT ISLAND Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEDOUT ISLAND,01/03/2023, , , , ,24.9,19,12,9.50,25.37
BEDOUT ISLAND,02/03/2023, , , ,33.8, ,15,12,8.82,26.63
BEDOUT ISLAND,03/03/2023, , , , ,27.7,16,12,9.77,27.14
BEDOUT ISLAND,04/03/2023, , , , , ,19,13,11.31,25.47
BEDOUT ISLAND,05/03/2023,12.3, , ,32.8,24.4,19,13,8.53,24.64
BEDOUT ISLAND,06/03/2023,12.0, , ,33.0,28.6,16,12,7.14,26.51
BEDOUT ISLAND,07/03/2023, , , , ,28.2,16,12,5.33,25.11
BEDOUT ISLAND,08/03/2023, , , ,33.4, , , , ,25.76
BEDOUT ISLAND,09/03/2023,10.9, , ,33.3,28.6,15,12,5.90,26.50
BEDOUT ISLAND,10/03/2023,11.6, , ,33.0,28.7,15,12,6.73,26.30
BEDOUT ISLAND,11/03/2023,10.8, , ,33.8,28.7,16,12,5.74,26.30
BEDOUT ISLAND,12/03/2023, , , , ,28.1,16,12,5.75,25.84
BEDOUT ISLAND,13/03/2023, , , ,33.1, ,16,12,5.52,26.09
BEDOUT ISLAND,14/03/2023, , , , ,28.4,16,12,5.72,25.86
BEDOUT ISLAND,15/03/2023,9.8, , ,33.8,28.6,15,12,4.81,25.83
BEDOUT ISLAND,16/03/2023,10.2, , ,34.3,29.4,15,12,5.07,25.40
BEDOUT ISLAND,17/03/2023,11.5, , ,33.6,29.1,15,12,6.52,25.65
BEDOUT ISLAND,18/03/2023,12.3, , ,34.0,28.6,15,12,7.42,25.47
BEDOUT ISLAND,19/03/2023, , , , ,29.1,15,12,6.89,24.60
BEDOUT ISLAND,20/03/2023, , , , , ,16,12,4.67,24.19
BEDOUT ISLAND,21/03/2023, , , , , ,16,12,3.08,22.51
BEDOUT ISLAND,22/03/2023,9.3, , ,35.6,29.3,15,11,4.20,24.98
BEDOUT ISLAND,23/03/2023,9.2, , ,34.1,29.0,15,12,4.37,24.70
BEDOUT ISLAND,24/03/2023, , , , ,26.5,17,13,4.18,16.26
BEDOUT ISLAND,25/03/2023,8.5, , ,32.8,26.8,16,12,4.29,21.15
BEDOUT ISLAND,26/03/2023,7.3, , ,33.2,28.1,16,12,2.98,22.54
BEDOUT ISLAND,27/03/2023,8.4, , ,33.6,28.7,16,12,3.96,22.01
BEDOUT ISLAND,28/03/2023,7.7, , ,32.9,28.0,16,12,3.49,20.77
BEDOUT ISLAND,29/03/2023,8.6, , ,32.4,27.1,16,13,4.50,21.18
BEDOUT ISLAND,30/03/2023, , , , ,28.9,15,12,5.38,23.49
BEDOUT ISLAND,31/03/2023, , , , , ,17,12,2.88,23.94
Totals:,,160.4, , ,,,,,, 
