'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BICKLEY Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BICKLEY,01/09/2023,2.8,0.0, ,20.3,13.4,100,51,5.47,10.95
BICKLEY,02/09/2023,2.2,11.8, ,16.5,10.3,100,62,5.72,11.51
BICKLEY,03/09/2023,2.2,32.6, ,13.3,7.3,100,60,6.49,15.05
BICKLEY,04/09/2023,2.1,4.6, ,16.3,7.8,100,65,4.92,12.35
BICKLEY,05/09/2023,2.1,6.8, ,16.5,11.0,100,68,5.67,12.34
BICKLEY,06/09/2023,2.5,11.2, ,14.9,9.2,100,52,4.98,14.81
BICKLEY,07/09/2023,3.2,0.0, ,16.2,2.8,95,39,4.95,19.30
BICKLEY,08/09/2023, ,0.0, , ,6.8,71,23,5.85,19.29
BICKLEY,09/09/2023,3.6, , ,19.2,13.0,100,28,4.68,15.61
BICKLEY,10/09/2023,2.3,0.4, ,19.3,13.0,100,63,0.43,15.25
BICKLEY,11/09/2023,2.7,0.2, ,22.4,12.1,100,58,0.00,19.70
BICKLEY,12/09/2023,2.3,0.0, ,21.2,13.5,100,55,0.00,15.73
BICKLEY,13/09/2023,1.0,0.0, ,15.8,13.4,100,77,0.00,4.91
BICKLEY,14/09/2023,1.7,31.0, ,16.2,8.4,100,64,0.00,12.46
BICKLEY,15/09/2023, ,8.4, , ,12.5,100,78,0.00,11.62
BICKLEY,16/09/2023,2.0, , ,18.3,11.6,100,63,0.00,13.06
BICKLEY,17/09/2023,2.5,1.2, ,17.0,7.8,100,46,0.00,20.99
BICKLEY,18/09/2023,1.9, , ,16.7,7.8,99,52,0.00,13.83
BICKLEY,19/09/2023,1.7,0.0, ,17.4,11.5,100,70,0.00,10.36
BICKLEY,20/09/2023,2.5,0.2, ,19.2,11.0,97,48,0.00,18.57
BICKLEY,21/09/2023,1.9,0.0, ,22.4,8.7,98,49,0.00,12.26
BICKLEY,22/09/2023,3.2,0.0, ,29.1,14.6,100,30,0.00,20.81
BICKLEY,23/09/2023,2.0,0.0, ,16.9,12.3,100,63,0.00,13.12
BICKLEY,24/09/2023,2.6,0.2, ,20.3,8.6,99,44,0.00,19.37
BICKLEY,25/09/2023,2.9,0.2, ,20.1,8.4,92,47,0.00,22.33
BICKLEY,26/09/2023,2.9,0.0, ,24.3,8.6,96,23,0.00,22.48
BICKLEY,27/09/2023,3.2,0.0, ,31.3,12.4,64,25,0.00,22.65
BICKLEY,28/09/2023,3.3,0.0, ,29.5,18.8,90,30,0.00,19.95
BICKLEY,29/09/2023,2.6,0.2, ,21.0,14.2,100,67,0.00,16.53
BICKLEY,30/09/2023,2.5,0.0, ,19.6,10.8,92,53,0.00,16.85
Totals:,,68.4,109, ,,,,,, 
