'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRIDGETOWN Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRIDGETOWN,01/09/2022,2.1,0.2, ,17.8,1.2,98,53,1.18,17.13
BRIDGETOWN,02/09/2022,2.3,0.0, ,18.0,7.1,90,44,2.04,13.02
BRIDGETOWN,03/09/2022,1.6,0.0, ,15.1,10.8,80,69,2.51,6.98
BRIDGETOWN,04/09/2022,1.5,0.0, ,16.4,10.7,95,70,1.82,8.52
BRIDGETOWN,05/09/2022,1.7,1.2, ,16.2,8.2,97,57,0.79,11.53
BRIDGETOWN,06/09/2022,1.9,0.6, ,16.3,2.5,98,52,0.75,15.29
BRIDGETOWN,07/09/2022,1.9,0.8, ,16.9,3.8,97,54,1.19,13.21
BRIDGETOWN,08/09/2022,1.5,0.0, ,14.7,2.1,98,58,0.49,12.45
BRIDGETOWN,09/09/2022,2.0,0.0, ,19.1,6.8,96,52,0.37,15.35
BRIDGETOWN,10/09/2022,2.2,0.2, ,20.0,5.8,98,41,0.62,16.13
BRIDGETOWN,11/09/2022,2.7,0.0, ,20.7,5.8,98,37,1.10,18.63
BRIDGETOWN,12/09/2022,2.8,0.0, ,21.6,5.5,96,44,2.07,15.97
BRIDGETOWN,13/09/2022,1.6,26.0, ,14.9,9.4,94,73,2.47,9.39
BRIDGETOWN,14/09/2022,2.5,10.4, ,16.1,7.1,88,58,2.05,17.84
BRIDGETOWN,15/09/2022,2.2,1.4, ,16.8,8.7,92,59,1.32,15.39
BRIDGETOWN,16/09/2022,2.6,1.4, ,18.0,7.0,97,50,0.97,19.66
BRIDGETOWN,17/09/2022,2.2,0.0, ,19.1,5.7,97,49,1.06,14.06
BRIDGETOWN,18/09/2022,1.9,0.2, ,17.1,7.5,96,59,0.74,13.31
BRIDGETOWN,19/09/2022,2.3,4.2, ,15.8,10.0,96,52,1.61,14.87
BRIDGETOWN,20/09/2022,2.4,1.4, ,19.0,7.2,93,59,2.36,14.19
BRIDGETOWN,21/09/2022,2.7,0.0, ,18.8,9.8,91,54,2.39,15.14
BRIDGETOWN,22/09/2022,1.9,2.8, ,15.2,2.4,98,46,0.35,15.74
BRIDGETOWN,23/09/2022,2.2,0.2, ,16.8,2.4,96,54,1.85,14.35
BRIDGETOWN,24/09/2022,2.4,5.4, ,15.5,8.2,94,46,1.42,16.35
BRIDGETOWN,25/09/2022,2.3,0.2, ,17.6,2.3,97,54,1.03,17.27
BRIDGETOWN,26/09/2022,2.7,0.2, ,20.4,3.5,98,47,0.49,21.09
BRIDGETOWN,27/09/2022,3.0,0.2, ,21.3,3.7,98,8,0.81,21.36
BRIDGETOWN,28/09/2022,3.4,0.0, ,23.1,5.2,66,8,1.04,20.44
BRIDGETOWN,29/09/2022,4.1,0.0, ,24.7,9.4,97,20,1.74,22.47
BRIDGETOWN,30/09/2022,3.6,0.0, ,23.9,7.6,93,34,1.29,22.58
Totals:,,70.2,57, ,,,,,, 
