'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRIDGETOWN Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRIDGETOWN,01/03/2023,5.9,0.0, ,32.9,15.0,78,25,2.32,24.72
BRIDGETOWN,02/03/2023,2.9,0.0, ,29.5,17.2,90,40,1.40,9.84
BRIDGETOWN,03/03/2023,4.8,2.6, ,30.6,13.9,96,39,1.55,24.41
BRIDGETOWN,04/03/2023,4.3,0.0, ,26.4,15.3,92,37,2.17,20.68
BRIDGETOWN,05/03/2023,3.1,0.0, ,24.2,7.4,97,44,1.65,15.58
BRIDGETOWN,06/03/2023,3.3,0.0, ,25.3,10.0,91,41,1.85,15.14
BRIDGETOWN,07/03/2023,4.7,0.0, ,26.2,10.2,87,26,2.29,23.52
BRIDGETOWN,08/03/2023,4.0,0.0, ,29.3,11.3,90,28,1.77,16.43
BRIDGETOWN,09/03/2023,4.5,12.6, ,29.1,15.3,90,35,1.70,22.25
BRIDGETOWN,10/03/2023,3.9,0.0, ,27.9,14.4,96,35,1.44,19.50
BRIDGETOWN,11/03/2023,4.1,0.0, ,30.3,9.5,97,26,0.95,23.03
BRIDGETOWN,12/03/2023,4.5,0.0, ,32.7,11.2,95,21,1.43,20.71
BRIDGETOWN,13/03/2023,4.1,0.0, ,29.7,15.6,95,34,1.27,20.73
BRIDGETOWN,14/03/2023,4.0,0.0, ,30.7,10.6,98,28,0.89,22.40
BRIDGETOWN,15/03/2023,4.6,0.0, ,31.2,9.9,98,36,1.88,22.27
BRIDGETOWN,16/03/2023,1.9,0.0, ,24.0,15.1,96,66,1.26,7.96
BRIDGETOWN,17/03/2023,2.5,9.4, ,21.4,11.6,95,49,1.64,12.31
BRIDGETOWN,18/03/2023,2.6,0.0, ,22.9,9.3,95,43,1.11,13.85
BRIDGETOWN,19/03/2023,3.9,0.0, ,27.7,7.2,98,28,1.38,21.49
BRIDGETOWN,20/03/2023,4.9,0.0, ,33.9,10.8,94,21,1.82,20.94
BRIDGETOWN,21/03/2023,5.2,0.0, ,31.1,16.1,85,33,3.09,21.00
BRIDGETOWN,22/03/2023,4.3,0.0, ,28.2,17.9,81,46,2.79,18.58
BRIDGETOWN,23/03/2023,3.3,0.0, ,27.3,16.9,86,53,2.55,12.65
BRIDGETOWN,24/03/2023,3.0,1.0, ,26.5,17.3,95,51,2.97,10.32
BRIDGETOWN,25/03/2023,1.8,0.0, ,21.8,17.5,92,69,2.93,5.31
BRIDGETOWN,26/03/2023,2.4,1.0, ,20.8,15.4,88,60,2.75,9.41
BRIDGETOWN,27/03/2023,2.4,0.0, ,22.5,4.7,98,42,1.33,13.04
BRIDGETOWN,28/03/2023,3.3,0.0, ,24.8,6.4,98,37,1.67,19.23
BRIDGETOWN,29/03/2023,3.6,0.0, ,25.0,6.4,96,30,2.04,19.55
BRIDGETOWN,30/03/2023,4.2,0.0, ,27.0,12.4,90,30,2.97,16.58
BRIDGETOWN,31/03/2023,2.5,0.0, ,21.4,16.0,80,56,2.56,8.94
Totals:,,114.5,26.6, ,,,,,, 
