'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRIDGETOWN Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRIDGETOWN,01/05/2023,1.6,0.2, ,20.0,6.1,98,47,0.74,12.84
BRIDGETOWN,02/05/2023,1.5,0.2, ,20.6,2.7,98,44,0.43,14.05
BRIDGETOWN,03/05/2023,1.5,0.2, ,22.0,3.3,98,47,0.47,12.51
BRIDGETOWN,04/05/2023,1.8,0.2, ,20.8,4.3,98,50,1.48,12.48
BRIDGETOWN,05/05/2023,2.4,0.0, ,18.5,11.4,89,46,3.06,13.16
BRIDGETOWN,06/05/2023,2.0,0.0, ,18.3,8.6,90,46,2.45,10.06
BRIDGETOWN,07/05/2023,1.5,1.6, ,18.1,11.2,87,60,1.80,6.80
BRIDGETOWN,08/05/2023,2.1,0.0, ,23.2,12.6,83,33,1.41,12.40
BRIDGETOWN,09/05/2023,2.6,0.2, ,24.2,10.5,88,38,2.45,10.98
BRIDGETOWN,10/05/2023,2.0,4.4, ,17.2,12.7,93,52,3.27,9.73
BRIDGETOWN,11/05/2023,1.1,2.2, ,18.3,5.6,96,42,0.42,9.84
BRIDGETOWN,12/05/2023,1.5,0.0, ,19.6,0.3,98,39,0.95,11.55
BRIDGETOWN,13/05/2023,1.4,5.0, ,18.9,7.3,98,61,1.16,10.44
BRIDGETOWN,14/05/2023,0.9,1.0, ,17.4,4.6,98,66,0.30,7.31
BRIDGETOWN,15/05/2023,1.2,0.2, ,19.7,6.7,98,58,0.34,11.80
BRIDGETOWN,16/05/2023,1.3,0.2, ,20.9,9.0,98,47,0.51,12.55
BRIDGETOWN,17/05/2023,1.5,0.0, ,23.4,3.2,99,35,0.76,12.45
BRIDGETOWN,18/05/2023,1.7,0.0, ,24.4,6.8,98,33,1.05,12.36
BRIDGETOWN,19/05/2023,1.3,0.2, ,22.3,4.7,98,40,0.64,12.30
BRIDGETOWN,20/05/2023,1.2,0.2, ,20.1,3.3,98,41,0.61,12.21
BRIDGETOWN,21/05/2023,1.2,0.2, ,20.6,1.9,98,41,0.73,10.03
BRIDGETOWN,22/05/2023,1.4,0.0, ,22.6,7.1,94,31,0.81,10.29
BRIDGETOWN,23/05/2023,2.3,0.0, ,22.4,5.0,98,33,2.33,10.47
BRIDGETOWN,24/05/2023,1.3,3.8, ,17.3,8.4,93,49,1.42,8.52
BRIDGETOWN,25/05/2023,0.9,0.0, ,14.3,3.7,98,55,0.86,7.50
BRIDGETOWN,26/05/2023,0.9,0.2, ,17.1,0.1,98,46,0.34,11.40
BRIDGETOWN,27/05/2023,0.8,0.2, ,16.4,-1.3,98,61,0.35,7.26
BRIDGETOWN,28/05/2023,1.0,0.0, ,18.7,4.3,97,56,0.57,8.75
BRIDGETOWN,29/05/2023,0.7,0.0, ,18.5,3.3,98,77,0.04,5.06
BRIDGETOWN,30/05/2023,1.5,0.2, ,22.8,5.8,98,56,1.68,9.48
BRIDGETOWN,31/05/2023,0.8,7.8, ,16.4,13.5,97,86,1.20,5.03
Totals:,,44.9,28.4, ,,,,,, 
