'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRIDGETOWN Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRIDGETOWN,01/07/2023,1.0,0.2, ,15.6,-2.5,98,44,0.90,11.07
BRIDGETOWN,02/07/2023,2.0,0.2, ,17.4,-0.3,97,37,3.03,11.10
BRIDGETOWN,03/07/2023,1.3,3.0, ,16.1,9.7,96,58,2.68,5.55
BRIDGETOWN,04/07/2023,1.0,10.6, ,13.4,4.8,94,69,2.32,8.96
BRIDGETOWN,05/07/2023,0.9,6.0, ,13.3,6.1,97,66,1.34,8.99
BRIDGETOWN,06/07/2023,1.0,2.6, ,16.1,2.4,98,66,1.57,8.69
BRIDGETOWN,07/07/2023,1.1,1.4, ,16.6,9.3,93,70,1.92,8.47
BRIDGETOWN,08/07/2023, ,1.2, , ,7.5,98,79,1.16,7.56
BRIDGETOWN,09/07/2023,1.2,0.8, ,16.9,9.4,96,63,2.18,8.09
BRIDGETOWN,10/07/2023,1.4,1.2, ,17.5,8.3,97,63,2.65,9.09
BRIDGETOWN,11/07/2023,1.2,0.2, ,16.4,11.6,94,75,3.55,6.94
BRIDGETOWN,12/07/2023,1.7,3.0, ,18.6,13.8,92,66,4.52,7.70
BRIDGETOWN,13/07/2023,1.1,8.0, ,15.9,9.4,94,63,1.62,8.48
BRIDGETOWN,14/07/2023,1.0,2.4, ,13.6,7.4,96,59,0.91,9.68
BRIDGETOWN,15/07/2023,0.9,2.0, ,14.7,-1.8,98,57,0.74,11.59
BRIDGETOWN,16/07/2023,1.2,0.2, ,15.7,-2.0,98,59,1.83,10.55
BRIDGETOWN,17/07/2023,1.0,2.2, ,17.2,3.5,96,72,1.25,7.45
BRIDGETOWN,18/07/2023,1.7,0.0, ,17.5,11.9,95,56,3.32,7.97
BRIDGETOWN,19/07/2023,1.1,25.8, ,12.4,7.1,96,58,1.60,7.95
BRIDGETOWN,20/07/2023,1.2,3.2, ,15.4,0.6,98,66,1.81,11.26
BRIDGETOWN,21/07/2023,1.2,2.4, ,16.6,6.5,97,65,1.79,9.10
BRIDGETOWN,22/07/2023,1.0,1.0, ,17.2,2.5,98,57,0.38,11.99
BRIDGETOWN,23/07/2023,1.1,0.2, ,17.7,-0.2,98,46,0.60,12.37
BRIDGETOWN,24/07/2023,1.8,0.2, ,19.5,-1.5,98,30,1.60,12.48
BRIDGETOWN,25/07/2023,1.4,0.0, ,14.9,4.1,94,48,2.25,4.08
BRIDGETOWN,26/07/2023,1.1,6.6, ,13.3,7.6,98,72,1.94,9.88
BRIDGETOWN,27/07/2023,1.1,10.0, ,14.3,8.0,95,63,1.20,8.37
BRIDGETOWN,28/07/2023,1.5,0.2, ,16.2,8.3,92,67,3.05,9.38
BRIDGETOWN,29/07/2023,1.3,0.8, ,17.2,11.7,95,69,1.79,8.89
BRIDGETOWN,30/07/2023,1.2,1.0, ,17.5,7.7,98,63,0.62,10.65
BRIDGETOWN,31/07/2023,1.2,1.6, ,17.6,7.3,98,67,0.75,9.98
Totals:,,36.9,98.2, ,,,,,, 
