'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRIDGETOWN Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRIDGETOWN,01/10/2023,2.2,0.2, ,17.7,6.3,95,63,4.17,10.11
BRIDGETOWN,02/10/2023,2.9,10.2, ,14.2,6.3,89,43,2.37,20.18
BRIDGETOWN,03/10/2023,2.3,1.4, ,18.1,5.9,93,58,1.06,14.76
BRIDGETOWN,04/10/2023,2.1,0.0, ,17.9,4.8,98,58,0.47,14.15
BRIDGETOWN,05/10/2023,3.0,0.2, ,21.3,7.1,98,54,1.14,19.37
BRIDGETOWN,06/10/2023,4.0,0.0, ,27.9,11.5,95,35,0.93,23.44
BRIDGETOWN,07/10/2023, ,0.0, , ,7.4,100,21,0.70,23.86
BRIDGETOWN,08/10/2023, ,0.0, , , ,100,57,1.67,23.51
BRIDGETOWN,09/10/2023, ,0.2, , , ,100,48,0.96,21.86
BRIDGETOWN,10/10/2023, ,0.2, , , ,100,48,1.49,19.31
BRIDGETOWN,11/10/2023,2.8,0.0, ,17.5,3.0,98,48,1.67,18.30
BRIDGETOWN,12/10/2023,3.6,0.0, ,21.6,1.1,98,43,1.39,24.70
BRIDGETOWN,13/10/2023,4.4,0.0, ,26.0,5.2,98,28,1.74,24.89
BRIDGETOWN,14/10/2023,4.6,0.0, ,27.0,7.9,97,29,1.80,24.92
BRIDGETOWN,15/10/2023,4.8,0.0, ,27.1,10.6,91,31,1.90,25.21
BRIDGETOWN,16/10/2023, ,0.0, , ,11.9,82,16,1.61,25.23
BRIDGETOWN,17/10/2023, , , , , ,96,20,1.59,25.31
BRIDGETOWN,18/10/2023,2.5, , ,20.5,13.3,95,59,1.29,12.68
BRIDGETOWN,19/10/2023,3.3,0.0, ,21.5,10.6,93,42,1.25,19.36
BRIDGETOWN,20/10/2023,3.9,0.0, ,24.1,7.8,93,36,1.12,23.09
BRIDGETOWN,21/10/2023,3.8,0.0, ,26.7,10.8,79,29,1.21,18.71
BRIDGETOWN,22/10/2023, ,0.0, , ,10.4,96,66,1.34,10.23
BRIDGETOWN,23/10/2023, ,1.2, , , ,97,42,1.95,21.31
BRIDGETOWN,24/10/2023,4.1,0.0, ,21.8,0.8,100,24,1.72,25.89
BRIDGETOWN,25/10/2023, ,0.0, , ,8.7,75,17,2.36,26.70
BRIDGETOWN,26/10/2023, ,0.0, ,21.7, ,93,52,1.67,17.83
BRIDGETOWN,27/10/2023,3.3,0.0, ,18.9,8.3,91,38,1.98,17.54
BRIDGETOWN,28/10/2023,3.8,0.0, ,21.7,0.8,98,36,1.05,26.62
BRIDGETOWN,29/10/2023,3.7,0.0, ,21.5,9.3,95,48,1.74,22.19
BRIDGETOWN,30/10/2023,2.6,0.0, ,18.2,3.8,96,46,1.62,14.81
BRIDGETOWN,31/10/2023,4.5,0.0, ,24.3,3.6,98,31,1.65,26.37
Totals:,,72.2,13.6, ,,,,,, 
