'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROOME AIRPORT Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROOME AIRPORT,01/03/2023,6.4,2.0, ,33.9,24.8,87,67,5.92,26.23
BROOME AIRPORT,02/03/2023,6.2,0.2, ,33.7,29.6,86,69,4.85,24.80
BROOME AIRPORT,03/03/2023,6.7,0.0, ,33.5,29.8,82,67,5.88,25.94
BROOME AIRPORT,04/03/2023,3.4,13.2, ,30.7,24.0,95,67,4.05,11.25
BROOME AIRPORT,05/03/2023,6.3,0.0, ,33.0,25.8,85,67,4.58,27.11
BROOME AIRPORT,06/03/2023,6.5,0.0, ,33.3,29.2,83,69,5.52,26.19
BROOME AIRPORT,07/03/2023,6.7,0.0, ,34.7,24.9,84,60,4.41,26.86
BROOME AIRPORT,08/03/2023,6.0,2.4, ,33.5,25.7,88,67,4.69,25.44
BROOME AIRPORT,09/03/2023,7.3,0.0, ,37.0,29.4,94,32,2.99,26.78
BROOME AIRPORT,10/03/2023,6.7,0.0, ,36.9,23.2,97,25,2.28,26.79
BROOME AIRPORT,11/03/2023,6.2,0.0, ,34.9,24.1,99,38,2.22,26.58
BROOME AIRPORT,12/03/2023,6.2,0.0, ,33.0,28.2,87,63,3.44,26.59
BROOME AIRPORT,13/03/2023,6.2,0.0, ,33.5,28.5,89,64,3.63,26.41
BROOME AIRPORT,14/03/2023,6.1,0.0, ,33.6,28.5,90,66,3.19,26.39
BROOME AIRPORT,15/03/2023,6.7,0.2, ,38.1,25.7,97,42,2.62,26.26
BROOME AIRPORT,16/03/2023,6.1,0.0, ,34.8,25.5,98,55,2.75,26.15
BROOME AIRPORT,17/03/2023,6.3,0.0, ,33.7,29.2,85,66,3.78,26.02
BROOME AIRPORT,18/03/2023,6.0,0.0, ,34.2,27.2,92,66,3.87,25.43
BROOME AIRPORT,19/03/2023,6.4,0.0, ,34.5,28.8,92,57,3.81,25.81
BROOME AIRPORT,20/03/2023,5.1,9.8, ,34.2,23.1,95,55,3.12,19.75
BROOME AIRPORT,21/03/2023,5.7,14.2, ,36.1,23.0,96,54,2.28,24.13
BROOME AIRPORT,22/03/2023,5.8,0.8, ,37.1,26.3,97,47,2.54,22.09
BROOME AIRPORT,23/03/2023,4.7,0.2, ,33.9,26.2,94,70,2.80,19.91
BROOME AIRPORT,24/03/2023,4.2,0.0, ,33.1,25.7,99,61,2.97,16.39
BROOME AIRPORT,25/03/2023,5.3,83.4, ,34.4,22.5,98,55,2.40,22.88
BROOME AIRPORT,26/03/2023,5.5,0.6, ,33.5,25.9,97,66,2.50,24.97
BROOME AIRPORT,27/03/2023,5.7,0.0, ,33.5,29.0,87,63,3.46,23.23
BROOME AIRPORT,28/03/2023,4.4,0.0, ,32.5,25.9,95,65,2.56,18.60
BROOME AIRPORT,29/03/2023,5.7,0.0, ,34.0,27.8,87,56,3.08,22.90
BROOME AIRPORT,30/03/2023,5.8,0.0, ,33.7,29.1,82,62,4.03,21.71
BROOME AIRPORT,31/03/2023,6.1,0.0, ,33.9,28.9,83,60,3.55,24.28
Totals:,,182.4,127, ,,,,,, 
