'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROOME AIRPORT Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROOME AIRPORT,01/04/2023,6.7,0.0, ,34.4,28.8,79,47,4.11,24.26
BROOME AIRPORT,02/04/2023,6.8,0.0, ,36.5,29.6,78,48,3.61,23.72
BROOME AIRPORT,03/04/2023,3.5,38.2, ,30.0,22.5,97,71,4.61,14.19
BROOME AIRPORT,04/04/2023,5.0,0.2, ,32.2,23.2,98,63,2.48,23.92
BROOME AIRPORT,05/04/2023,5.1,0.0, ,32.8,25.8,94,67,2.75,23.05
BROOME AIRPORT,06/04/2023,4.8,0.0, ,32.8,28.8,93,60,3.19,18.88
BROOME AIRPORT,07/04/2023,4.8,4.0, ,32.7,25.1,96,67,2.24,22.39
BROOME AIRPORT,08/04/2023,5.5,0.0, ,34.4,27.1,88,45,2.67,21.69
BROOME AIRPORT,09/04/2023,5.4,0.0, ,34.1,28.1,92,54,3.36,20.73
BROOME AIRPORT,10/04/2023,4.0,0.0, ,32.6,27.0,92,49,2.77,13.40
BROOME AIRPORT,11/04/2023,2.6,0.2, ,30.1,27.3,97,71,2.60,9.22
BROOME AIRPORT,12/04/2023,1.6,10.2, ,26.9,24.7,98,89,4.53,6.23
BROOME AIRPORT,13/04/2023,2.5,11.2, ,30.0,25.0,97,80,4.41,9.54
BROOME AIRPORT,14/04/2023,5.0,0.2, ,31.5,26.0,95,67,5.58,21.36
BROOME AIRPORT,15/04/2023,4.8,3.4, ,30.3,22.5,95,57,4.42,20.03
BROOME AIRPORT,16/04/2023,5.7,0.0, ,30.1,20.6,89,42,4.83,22.44
BROOME AIRPORT,17/04/2023,5.2,0.0, ,31.5,18.0,91,38,3.02,22.34
BROOME AIRPORT,18/04/2023,5.5,0.0, ,30.8,16.6,86,27,3.11,22.25
BROOME AIRPORT,19/04/2023,5.8,0.0, ,31.6,16.2,77,27,3.39,22.17
BROOME AIRPORT,20/04/2023,5.5,0.0, ,30.5,16.7,78,36,3.46,22.07
BROOME AIRPORT,21/04/2023,5.8,0.0, ,31.9,19.3,73,38,3.79,21.97
BROOME AIRPORT,22/04/2023,5.7,0.0, ,32.6,20.0,77,39,3.55,21.38
BROOME AIRPORT,23/04/2023,5.5,0.0, ,33.6,21.1,82,38,2.99,21.54
BROOME AIRPORT,24/04/2023,5.1,0.0, ,33.1,19.7,98,35,2.62,21.64
BROOME AIRPORT,25/04/2023,4.3,0.0, ,30.6,20.2,99,49,2.01,21.49
BROOME AIRPORT,26/04/2023,4.4,0.0, ,32.8,18.7,98,39,1.61,21.43
BROOME AIRPORT,27/04/2023,5.7,0.0, ,35.5,22.0,89,34,2.94,21.34
BROOME AIRPORT,28/04/2023,5.3,0.0, ,35.6,21.0,92,35,2.63,20.52
BROOME AIRPORT,29/04/2023,6.3,0.0, ,32.2,21.3,67,29,4.07,20.66
BROOME AIRPORT,30/04/2023,5.3,0.0, ,31.9,18.9,86,31,3.47,18.42
Totals:,,149.2,67.6, ,,,,,, 
