'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUNBURY Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUNBURY,01/01/2023,7.0,0.0, ,29.1,11.3,92,30,3.99,31.46
BUNBURY,02/01/2023,8.9,0.0, ,31.7,13.4,67,21,5.27,31.64
BUNBURY,03/01/2023,9.6,0.0, ,33.8,16.1,71,23,5.94,31.67
BUNBURY,04/01/2023,9.2,0.0, ,33.8,16.4,67,20,4.85,31.64
BUNBURY,05/01/2023,9.1,0.0, ,35.8,18.5,63,19,4.00,31.38
BUNBURY,06/01/2023,6.3,0.0, ,27.8,21.5,67,33,4.55,19.56
BUNBURY,07/01/2023,5.9,0.0, ,26.1,14.2,76,36,3.93,24.86
BUNBURY,08/01/2023,6.7,0.0, ,28.5,12.6,89,37,4.01,31.33
BUNBURY,09/01/2023,8.8,0.0, ,36.2,16.3,74,20,3.83,31.24
BUNBURY,10/01/2023,8.4,0.6, ,32.5,19.5,70,32,4.84,31.25
BUNBURY,11/01/2023,6.8,0.0, ,26.4,18.4,70,42,4.64,29.96
BUNBURY,12/01/2023,6.5,0.0, ,28.1,14.4,90,37,3.69,30.74
BUNBURY,13/01/2023,6.8,0.0, ,28.5,15.6,91,42,5.13,30.98
BUNBURY,14/01/2023,8.2,0.0, ,29.3,14.1,63,21,5.08,30.50
BUNBURY,15/01/2023,6.7,0.0, ,26.3,13.8,76,34,4.61,30.69
BUNBURY,16/01/2023,6.4,0.0, ,25.4,13.6,87,31,4.96,28.44
BUNBURY,17/01/2023,7.2,0.0, ,27.5,10.1,73,21,4.41,30.30
BUNBURY,18/01/2023,8.0,0.0, ,29.9,14.5,60,24,5.12,28.31
BUNBURY,19/01/2023,8.5,0.0, ,33.3,15.9,62,23,4.25,30.28
BUNBURY,20/01/2023,8.3,0.0, ,33.8,17.5,68,32,4.62,29.84
BUNBURY,21/01/2023,9.1,0.0, ,35.8,22.1,48,18,3.88,30.20
BUNBURY,22/01/2023,7.5,0.0, ,33.0,21.9,77,22,2.94,30.07
BUNBURY,23/01/2023,8.4,0.0, ,35.6,19.8,60,24,3.49,30.07
BUNBURY,24/01/2023,8.7,0.0, ,33.9,19.4,69,32,5.35,29.94
BUNBURY,25/01/2023,7.9,0.0, ,31.9,16.4,73,22,4.12,29.84
BUNBURY,26/01/2023,6.5,0.0, ,27.1,15.8,78,34,3.63,29.80
BUNBURY,27/01/2023,5.7,0.0, ,26.9,14.3,94,34,3.72,25.30
BUNBURY,28/01/2023,6.5,0.0, ,26.9,12.5,77,34,4.23,29.51
BUNBURY,29/01/2023,7.6,0.0, ,33.0,15.3,64,31,3.80,29.09
BUNBURY,30/01/2023,8.9,0.0, ,37.8,18.3,64,22,3.92,28.93
BUNBURY,31/01/2023,8.0,0.0, ,31.7,17.3,75,31,5.96,26.89
Totals:,,238.1,0.6, ,,,,,, 
