'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUNBURY Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUNBURY,01/03/2023,7.5,0.0, ,35.3,17.9,66,25,3.85,24.76
BUNBURY,02/03/2023,6.6,0.0, ,34.4,21.9,77,27,4.08,18.51
BUNBURY,03/03/2023,4.9,0.6, ,28.0,18.1,89,60,3.25,24.64
BUNBURY,04/03/2023,5.3,0.0, ,28.1,13.7,97,35,3.67,22.77
BUNBURY,05/03/2023,4.8,0.0, ,25.5,11.4,92,36,3.43,22.94
BUNBURY,06/03/2023,4.5,0.0, ,25.1,10.9,92,40,3.20,21.71
BUNBURY,07/03/2023,6.5,0.0, ,29.2,15.0,70,25,4.30,23.82
BUNBURY,08/03/2023,6.2,0.0, ,30.2,15.4,59,27,4.41,16.25
BUNBURY,09/03/2023,5.0,0.0, ,26.2,16.1,86,40,3.49,23.51
BUNBURY,10/03/2023,4.5,0.0, ,26.8,14.9,96,54,3.41,23.08
BUNBURY,11/03/2023,4.7,0.0, ,27.4,13.8,88,39,2.63,23.08
BUNBURY,12/03/2023,4.5,0.0, ,28.2,13.9,86,29,2.18,20.42
BUNBURY,13/03/2023,4.2,0.0, ,26.8,14.9,97,54,2.65,21.82
BUNBURY,14/03/2023,4.1,0.0, ,26.0,13.9,96,45,2.42,21.72
BUNBURY,15/03/2023,3.6,0.0, ,25.4,13.7,96,67,1.55,22.29
BUNBURY,16/03/2023,2.5,0.0, ,24.3,16.8,99,60,2.76,9.72
BUNBURY,17/03/2023,3.1,6.4, ,23.1,12.3,95,49,2.69,13.96
BUNBURY,18/03/2023,3.8,0.0, ,23.4,11.9,90,51,3.24,20.02
BUNBURY,19/03/2023,5.6,0.0, ,29.0,15.0,77,30,3.83,21.54
BUNBURY,20/03/2023,6.9,0.0, ,35.1,16.8,64,22,3.74,21.32
BUNBURY,21/03/2023,7.7,0.0, ,34.1,20.7,64,27,5.45,21.07
BUNBURY,22/03/2023,5.5,0.0, ,30.8,18.9,79,40,4.02,20.83
BUNBURY,23/03/2023,4.8,0.0, ,29.5,16.6,87,42,3.26,20.20
BUNBURY,24/03/2023,4.0,0.0, ,28.1,18.6,77,44,3.43,12.50
BUNBURY,25/03/2023,4.6,0.0, ,28.2,20.0,80,49,5.12,13.69
BUNBURY,26/03/2023,3.3,5.4, ,22.4,16.8,90,58,5.08,13.02
BUNBURY,27/03/2023,4.2,0.0, ,25.2,12.0,84,32,3.21,17.99
BUNBURY,28/03/2023,4.6,0.0, ,26.3,11.7,89,31,3.54,19.71
BUNBURY,29/03/2023,5.1,0.0, ,28.1,11.6,83,27,3.79,19.38
BUNBURY,30/03/2023,5.4,0.0, ,27.7,16.7,72,32,5.33,13.19
BUNBURY,31/03/2023,2.9,3.4, ,22.1,16.2,90,59,4.79,10.26
Totals:,,150.9,15.8, ,,,,,, 
