'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUNBURY Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUNBURY,01/05/2023,2.1,0.0, ,21.2,8.5,97,50,2.01,12.32
BUNBURY,02/05/2023,2.6,0.0, ,21.7,8.6,95,41,2.54,14.43
BUNBURY,03/05/2023,2.5,0.0, ,23.7,9.3,95,46,2.30,14.28
BUNBURY,04/05/2023,2.8,0.0, ,21.8,12.4,87,48,3.63,13.17
BUNBURY,05/05/2023,3.5,0.0, ,20.8,13.7,80,39,5.05,13.88
BUNBURY,06/05/2023,3.0,0.0, ,18.8,11.7,71,51,5.39,9.60
BUNBURY,07/05/2023,2.5,3.4, ,19.4,13.3,85,55,5.03,7.22
BUNBURY,08/05/2023,2.5,0.6, ,23.1,14.8,86,41,2.43,10.17
BUNBURY,09/05/2023,3.0,0.4, ,23.0,15.2,90,39,3.83,11.70
BUNBURY,10/05/2023,2.9,5.6, ,19.1,14.3,94,49,7.07,10.72
BUNBURY,11/05/2023,1.4,0.6, ,18.5,7.1,98,55,1.12,10.72
BUNBURY,12/05/2023,1.8,0.0, ,19.2,6.3,98,48,1.91,11.77
BUNBURY,13/05/2023,2.0,10.2, ,20.4,12.6,98,58,3.10,12.41
BUNBURY,14/05/2023,1.1,0.0, ,18.4,9.9,97,58,0.71,6.86
BUNBURY,15/05/2023,1.6,0.0, ,20.1,7.5,100,54,1.31,12.74
BUNBURY,16/05/2023,1.9,0.0, ,22.0,9.3,100,45,1.58,12.81
BUNBURY,17/05/2023,1.9,0.0, ,23.6,8.3,95,44,1.39,12.74
BUNBURY,18/05/2023,2.9,0.0, ,24.9,11.2,83,34,2.73,12.65
BUNBURY,19/05/2023,2.6,0.0, ,23.9,11.3,77,37,2.46,12.43
BUNBURY,20/05/2023,2.1,0.0, ,20.9,9.5,92,37,2.19,12.47
BUNBURY,21/05/2023,1.8,0.0, ,20.5,7.9,86,44,1.85,9.60
BUNBURY,22/05/2023,1.9,0.0, ,20.7,9.8,92,45,2.22,10.90
BUNBURY,23/05/2023,2.0,5.4, ,21.2,8.5,100,55,3.45,9.95
BUNBURY,24/05/2023,2.2,2.6, ,18.8,11.7,93,44,3.35,10.77
BUNBURY,25/05/2023,1.6,0.0, ,16.8,6.5,98,52,2.59,9.34
BUNBURY,26/05/2023,1.5,0.0, ,17.9,4.1,93,45,1.61,12.04
BUNBURY,27/05/2023,1.2,0.0, ,17.5,2.1,99,55,0.97,11.84
BUNBURY,28/05/2023,1.0,0.0, ,18.6,9.4,98,68,0.80,7.85
BUNBURY,29/05/2023,1.3,0.0, ,21.1,6.9,100,53,1.36,6.73
BUNBURY,30/05/2023,1.5,0.0, ,22.6,10.5,100,76,3.48,10.56
BUNBURY,31/05/2023,0.9,8.2, ,20.1,15.6,100,85,1.49,5.15
Totals:,,63.6,37, ,,,,,, 
