'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUNBURY Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUNBURY,01/06/2023,1.6,1.2, ,18.4,10.5,98,57,2.66,9.66
BUNBURY,02/06/2023,1.2,0.0, ,18.1,6.5,100,56,1.33,10.47
BUNBURY,03/06/2023,1.2,0.2, ,17.4,3.1,100,54,1.21,11.40
BUNBURY,04/06/2023,1.6,0.0, ,18.6,7.0,100,65,4.30,6.24
BUNBURY,05/06/2023,1.2,56.4, ,13.7,11.1,98,65,3.81,5.49
BUNBURY,06/06/2023,0.8,40.0, ,10.7,6.7,97,81,2.02,6.43
BUNBURY,07/06/2023,1.2,13.6, ,15.9,4.5,100,60,1.87,8.86
BUNBURY,08/06/2023,1.2,1.8, ,19.1,9.5,100,67,1.89,9.22
BUNBURY,09/06/2023,0.9,0.0, ,18.3,5.5,100,76,0.89,7.34
BUNBURY,10/06/2023,1.8,1.6, ,19.3,9.1,94,66,5.07,8.16
BUNBURY,11/06/2023,2.3,3.6, ,16.2,11.5,83,51,5.15,10.62
BUNBURY,12/06/2023,1.0,0.0, ,17.3,5.3,100,58,1.07,8.70
BUNBURY,13/06/2023,1.7,15.4, ,18.4,11.3,94,65,4.54,9.06
BUNBURY,14/06/2023,1.5,5.4, ,17.1,10.4,96,59,3.18,9.10
BUNBURY,15/06/2023,2.2,0.4, ,18.5,13.7,90,61,6.33,8.78
BUNBURY,16/06/2023,1.9,0.2, ,16.8,14.2,95,58,5.32,7.19
BUNBURY,17/06/2023,1.0,2.8, ,16.2,3.2,96,47,0.97,11.15
BUNBURY,18/06/2023,1.0,0.2, ,16.6,5.8,98,52,0.84,9.67
BUNBURY,19/06/2023,1.1,0.0, ,15.6,3.6,99,63,2.23,7.21
BUNBURY,20/06/2023,1.4,9.8, ,14.6,8.9,98,57,3.08,10.65
BUNBURY,21/06/2023,1.5,0.4, ,15.9,4.5,98,47,2.45,10.94
BUNBURY,22/06/2023,1.8,0.0, ,17.5,4.6,100,57,4.47,7.88
BUNBURY,23/06/2023,1.5,11.0, ,14.6,4.5,94,59,3.55,10.76
BUNBURY,24/06/2023,1.1,0.0, ,17.2,4.3,100,68,2.13,9.97
BUNBURY,25/06/2023,0.9,1.0, ,13.5,4.5,100,70,2.11,8.35
BUNBURY,26/06/2023,1.3,2.0, ,14.2,2.4,98,55,2.42,11.12
BUNBURY,27/06/2023,0.7,0.2, ,15.2,0.8,100,62,0.31,9.66
BUNBURY,28/06/2023,0.8,0.2, ,15.6,2.8,100,69,0.75,8.82
BUNBURY,29/06/2023,1.3,0.0, ,15.8,4.5,100,54,2.02,10.94
BUNBURY,30/06/2023,1.1,0.0, ,15.9,2.1,99,50,1.37,11.35
Totals:,,39.8,167.4, ,,,,,, 
