'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUNBURY Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUNBURY,01/09/2023,1.7,0.0, ,20.9,7.8,100,84,2.82,12.49
BUNBURY,02/09/2023,2.3,13.0, ,18.2,13.1,100,65,5.74,13.19
BUNBURY,03/09/2023,3.0,13.6, ,15.5,10.3,94,48,6.94,17.23
BUNBURY,04/09/2023,2.7,6.4, ,17.7,11.1,100,57,5.11,16.60
BUNBURY,05/09/2023,2.6,1.6, ,18.8,13.5,100,64,5.61,16.22
BUNBURY,06/09/2023,3.2,4.2, ,17.2,11.9,95,42,4.86,17.41
BUNBURY,07/09/2023,2.3,0.0, ,16.1,2.1,100,55,1.77,18.88
BUNBURY,08/09/2023,3.0,0.0, ,21.9,4.9,100,32,1.73,18.44
BUNBURY,09/09/2023,2.6,0.0, ,20.1,10.7,99,52,2.72,14.41
BUNBURY,10/09/2023,2.6,0.2, ,19.6,9.8,100,61,3.22,15.85
BUNBURY,11/09/2023,2.6,0.0, ,20.7,12.0,100,79,3.61,18.99
BUNBURY,12/09/2023,2.3,0.0, ,21.3,15.2,100,86,4.99,17.06
BUNBURY,13/09/2023,2.1,6.8, ,16.6,13.7,100,65,7.85,8.41
BUNBURY,14/09/2023,2.6,20.0, ,18.1,11.5,100,59,5.93,12.55
BUNBURY,15/09/2023,2.2,2.0, ,19.7,15.3,99,74,5.16,12.32
BUNBURY,16/09/2023,2.2,2.6, ,19.3,13.8,100,75,2.22,14.53
BUNBURY,17/09/2023,2.7,1.4, ,17.8,6.7,100,54,1.73,20.28
BUNBURY,18/09/2023,2.9,0.0, ,18.9,9.2,96,58,4.18,17.46
BUNBURY,19/09/2023,2.7,0.4, ,18.7,14.0,99,73,3.63,18.82
BUNBURY,20/09/2023,2.3,0.2, ,18.6,10.5,99,59,2.02,14.05
BUNBURY,21/09/2023,3.1,0.0, ,23.1,8.6,100,55,1.93,18.60
BUNBURY,22/09/2023,4.1,0.0, ,28.0,10.6,100,51,2.68,21.20
BUNBURY,23/09/2023,3.0,0.0, ,18.6,14.3,96,62,3.47,18.78
BUNBURY,24/09/2023,3.1,0.0, ,19.9,8.6,100,52,2.14,20.95
BUNBURY,25/09/2023,3.1,0.0, ,19.2,6.3,100,55,2.32,21.49
BUNBURY,26/09/2023,3.3,0.0, ,22.1,5.5,100,47,1.57,22.15
BUNBURY,27/09/2023,4.4,0.0, ,30.3,7.0,98,37,1.82,22.27
BUNBURY,28/09/2023,4.6,0.0, ,27.8,13.5,98,37,2.52,22.49
BUNBURY,29/09/2023,3.7,0.0, ,21.7,10.3,100,55,3.45,22.59
BUNBURY,30/09/2023,3.7,0.0, ,19.4,13.4,91,49,3.53,22.06
Totals:,,86.7,72.4, ,,,,,, 
