'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUNBURY Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUNBURY,28/10/2023,4.3,0.0, ,19.4,6.3,90,45,3.24,27.34
BUNBURY,29/10/2023,4.3,0.0, ,22.3,8.9,90,45,3.00,23.93
BUNBURY,30/10/2023,4.6,0.0, ,22.0,6.9,93,36,3.28,25.09
BUNBURY,31/10/2023,5.1,0.0, ,23.3,9.6,87,39,3.99,26.34
BUNBURY,01/11/2023,5.9,0.0, ,27.6,10.2,95,35,3.62,28.05
BUNBURY,02/11/2023,7.1,0.0, ,30.9,13.1,87,24,4.22,26.92
BUNBURY,03/11/2023,7.5,0.0, ,32.2,15.3,67,24,4.66,23.42
Totals:,,38.8,0, ,,,,,, 
