'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,01/04/2023,4.3,0.0, ,26.4,16.3,82,48,5.18,13.99
BUSSELTON AERO,02/04/2023,4.9,0.0, ,28.9,13.1,98,33,4.12,18.87
BUSSELTON AERO,03/04/2023,4.1,0.0, ,26.8,13.4,94,46,4.22,17.72
BUSSELTON AERO,04/04/2023,3.8,0.0, ,24.9,9.7,100,37,3.38,17.04
BUSSELTON AERO,05/04/2023,3.4,0.0, ,23.4,6.0,99,47,4.04,16.17
BUSSELTON AERO,06/04/2023,3.5,0.2, ,25.1,6.6,100,41,2.95,16.28
BUSSELTON AERO,07/04/2023,3.9,0.0, ,23.8,14.4,77,45,5.91,7.07
BUSSELTON AERO,08/04/2023,4.1,0.0, ,24.3,10.4,82,39,4.68,13.75
BUSSELTON AERO,09/04/2023,3.2,0.0, ,23.9,9.1,95,47,2.98,16.75
BUSSELTON AERO,10/04/2023,3.2,0.0, ,25.0,12.5,99,45,4.62,7.71
BUSSELTON AERO,11/04/2023,2.4,23.6, ,22.3,11.5,99,60,2.88,12.17
BUSSELTON AERO,12/04/2023,3.3,1.8, ,23.5,12.7,100,50,4.67,14.48
BUSSELTON AERO,13/04/2023,2.4,0.8, ,20.1,17.3,99,57,6.53,6.26
BUSSELTON AERO,14/04/2023,3.2,13.4, ,18.5,8.6,96,39,5.06,15.20
BUSSELTON AERO,15/04/2023,2.2,1.0, ,20.9,6.9,100,59,2.65,11.88
BUSSELTON AERO,16/04/2023,2.6,2.0, ,22.9,12.5,100,46,2.64,11.90
BUSSELTON AERO,17/04/2023,2.7,3.4, ,22.8,14.0,100,55,4.04,12.31
BUSSELTON AERO,18/04/2023,3.1,0.2, ,21.4,8.4,99,43,3.85,16.38
BUSSELTON AERO,19/04/2023, ,0.0, , ,7.8,84,40,3.04,16.22
BUSSELTON AERO,20/04/2023, , , , , ,89,44,2.75,16.06
BUSSELTON AERO,21/04/2023, , , ,23.6, ,98,39,2.48,15.90
BUSSELTON AERO,22/04/2023,3.5,0.0, ,27.1,8.1,90,29,2.50,15.74
BUSSELTON AERO,23/04/2023,2.7,0.0, ,24.9,6.9,100,57,2.59,15.59
BUSSELTON AERO,24/04/2023,2.1,5.2, ,16.7,10.3,99,64,5.03,14.34
BUSSELTON AERO,25/04/2023,1.0,3.0, ,17.4,8.3,100,83,2.81,4.53
BUSSELTON AERO,26/04/2023,2.2,18.2, ,20.7,11.6,100,61,3.79,10.65
BUSSELTON AERO,27/04/2023,2.7,3.4, ,19.2,12.3,100,45,4.83,12.11
BUSSELTON AERO,28/04/2023,2.0,0.0, ,19.1,4.7,100,53,2.39,12.77
BUSSELTON AERO,29/04/2023,2.0,0.0, ,19.7,6.4,99,53,2.18,13.31
BUSSELTON AERO,30/04/2023,2.0,0.0, ,20.1,7.0,100,54,2.37,11.72
Totals:,,80.5,76.2, ,,,,,, 
