'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,01/07/2023,1.6,0.0, ,15.1,2.3,99,56,4.22,11.20
BUSSELTON AERO,02/07/2023,2.0,0.0, ,17.5,2.6,94,64,6.76,10.95
BUSSELTON AERO,03/07/2023,1.8,2.4, ,18.0,12.9,100,65,7.06,6.03
BUSSELTON AERO,04/07/2023,1.6,14.8, ,15.0,6.8,97,63,6.00,6.81
BUSSELTON AERO,05/07/2023,1.7,12.2, ,15.5,8.0,99,53,4.28,9.96
BUSSELTON AERO,06/07/2023,1.3,0.8, ,16.9,4.7,100,66,3.28,9.48
BUSSELTON AERO,07/07/2023,1.7,1.6, ,18.1,9.2,100,60,4.58,8.89
BUSSELTON AERO,08/07/2023, ,0.2, , ,7.1,100,71,2.39,9.54
BUSSELTON AERO,09/07/2023,1.7,2.0, ,18.0,11.2,100,63,5.00,8.99
BUSSELTON AERO,10/07/2023,1.8,1.4, ,18.2,13.3,96,68,5.85,9.75
BUSSELTON AERO,11/07/2023,1.5,0.0, ,17.1,14.8,100,72,7.13,7.07
BUSSELTON AERO,12/07/2023,1.5,1.2, ,19.0,15.1,100,77,7.82,9.21
BUSSELTON AERO,13/07/2023,1.7,6.4, ,16.5,8.2,99,55,4.18,8.34
BUSSELTON AERO,14/07/2023,1.6,3.8, ,15.5,6.4,100,55,3.23,11.52
BUSSELTON AERO,15/07/2023,1.4,0.0, ,15.4,-0.4,99,65,3.73,11.88
BUSSELTON AERO,16/07/2023,2.0,0.0, ,17.5,5.6,88,57,4.73,7.85
BUSSELTON AERO,17/07/2023,1.4,5.4, ,18.2,10.9,100,73,3.89,8.77
BUSSELTON AERO,18/07/2023,1.7,0.0, ,17.7,13.7,100,66,6.23,5.64
BUSSELTON AERO,19/07/2023,1.9,19.2, ,13.8,7.9,98,50,5.20,9.48
BUSSELTON AERO,20/07/2023,1.6,1.4, ,17.0,3.3,99,63,3.76,9.40
BUSSELTON AERO,21/07/2023,1.7,2.2, ,17.8,9.0,99,64,4.45,10.76
BUSSELTON AERO,22/07/2023,1.4,0.2, ,17.4,4.0,99,55,1.61,11.18
BUSSELTON AERO,23/07/2023,1.6,0.2, ,17.3,1.9,99,60,2.72,12.52
BUSSELTON AERO,24/07/2023, ,0.0, , ,2.6,99,55,5.03,12.60
BUSSELTON AERO,25/07/2023,2.0, , ,15.6,7.6,100,53,6.62,3.68
BUSSELTON AERO,26/07/2023,1.4,35.8, ,14.7,6.6,100,67,3.50,9.74
BUSSELTON AERO,27/07/2023,1.7,2.6, ,15.4,9.6,99,57,3.76,9.26
BUSSELTON AERO,28/07/2023,1.9,1.8, ,17.1,11.5,99,64,6.05,9.15
BUSSELTON AERO,29/07/2023,1.5,1.4, ,16.7,12.9,100,70,3.88,9.06
BUSSELTON AERO,30/07/2023,1.3,0.8, ,17.1,8.4,100,72,1.49,12.01
BUSSELTON AERO,31/07/2023,1.3,0.4, ,17.3,7.1,100,77,2.76,11.66
Totals:,,47.3,118.2, ,,,,,, 
