'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE LEEUWIN Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE LEEUWIN,01/11/2022,3.3,0.2, ,17.5,13.1,87,62,6.84,16.12
CAPE LEEUWIN,02/11/2022,3.6,1.0, ,18.5,13.1,92,66,8.67,22.25
CAPE LEEUWIN,03/11/2022,3.6,0.0, ,20.4,13.4,92,73,6.70,22.81
CAPE LEEUWIN,04/11/2022,4.6,0.0, ,19.7,16.1,85,55,8.10,22.83
CAPE LEEUWIN,05/11/2022,5.1,0.0, ,19.4,14.0,76,55,7.45,28.46
CAPE LEEUWIN,06/11/2022,4.4,0.0, ,19.7,12.7,86,59,9.19,24.84
CAPE LEEUWIN,07/11/2022,3.7,0.0, ,19.7,14.7,95,69,9.36,23.35
CAPE LEEUWIN,08/11/2022,4.5,1.6, ,20.7,14.1,91,59,7.90,25.70
CAPE LEEUWIN,09/11/2022,4.9,0.2, ,20.7,14.6,84,53,4.87,27.12
CAPE LEEUWIN,10/11/2022,2.9,0.8, ,18.2,15.1,92,72,9.19,15.32
CAPE LEEUWIN,11/11/2022,4.6,4.2, ,17.3,11.6,82,51,9.28,25.12
CAPE LEEUWIN,12/11/2022,3.4,0.4, ,16.6,12.6,87,54,8.28,13.14
CAPE LEEUWIN,13/11/2022,4.2,1.6, ,18.3,12.1,74,54,7.35,17.87
CAPE LEEUWIN,14/11/2022,5.1,0.2, ,19.2,14.0,80,49,8.57,25.16
CAPE LEEUWIN,15/11/2022,5.1,0.0, ,20.7,11.8,82,54,5.97,29.92
CAPE LEEUWIN,16/11/2022,3.3,0.0, ,20.4,15.6,89,75,5.52,18.76
CAPE LEEUWIN,17/11/2022,3.4,0.6, ,16.3,14.8,86,64,11.69,14.80
CAPE LEEUWIN,18/11/2022,4.2,6.8, ,16.9,9.6,91,50,11.99,22.42
CAPE LEEUWIN,19/11/2022,3.8,4.0, ,18.6,10.6,91,64,9.17,22.99
CAPE LEEUWIN,20/11/2022,4.5,0.6, ,19.7,13.2,88,55,6.61,24.75
CAPE LEEUWIN,21/11/2022,5.6,0.2, ,20.0,13.3,77,53,10.23,30.57
CAPE LEEUWIN,22/11/2022,4.3,0.0, ,20.9,13.2,91,68,9.86,27.49
CAPE LEEUWIN,23/11/2022,4.5,0.0, ,22.4,14.9,92,70,5.14,27.50
CAPE LEEUWIN,24/11/2022,4.4,0.0, ,21.1,15.1,92,58,5.79,23.47
CAPE LEEUWIN,25/11/2022,4.4,0.4, ,21.8,15.6,87,61,5.30,22.50
CAPE LEEUWIN,26/11/2022,4.2,0.2, ,20.4,15.4,79,55,6.68,16.31
CAPE LEEUWIN,27/11/2022,5.3,0.0, ,20.0,14.7,76,52,7.77,27.16
CAPE LEEUWIN,28/11/2022,5.2,0.0, ,20.8,15.1,79,57,9.80,25.14
CAPE LEEUWIN,29/11/2022,5.0,0.0, ,21.6,14.7,90,64,9.30,31.25
CAPE LEEUWIN,30/11/2022,4.8,0.0, ,23.1,17.6,90,76,8.09,30.71
Totals:,,129.9,23, ,,,,,, 
