'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE LEEUWIN Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE LEEUWIN,01/01/2023,5.5,0.0, ,22.3,16.6,79,53,6.68,25.87
CAPE LEEUWIN,02/01/2023,5.8,0.0, ,22.5,16.2,79,58,10.51,29.66
CAPE LEEUWIN,03/01/2023,5.5,0.0, ,22.3,17.7,83,66,13.17,31.16
CAPE LEEUWIN,04/01/2023,5.8,0.0, ,24.0,16.5,86,62,11.46,31.52
CAPE LEEUWIN,05/01/2023,6.2,0.0, ,26.0,18.0,88,59,8.47,31.55
CAPE LEEUWIN,06/01/2023,5.0,0.0, ,21.7,20.4,88,40,9.05,14.49
CAPE LEEUWIN,07/01/2023,5.2,0.0, ,23.3,16.6,73,53,5.45,21.80
CAPE LEEUWIN,08/01/2023,5.5,0.0, ,23.8,16.5,84,48,5.55,25.73
CAPE LEEUWIN,09/01/2023,5.8,0.0, ,23.6,17.6,87,59,10.14,31.30
CAPE LEEUWIN,10/01/2023,5.3,0.0, ,25.4,18.9,86,64,7.61,25.54
CAPE LEEUWIN,11/01/2023,5.3,0.0, ,24.1,17.9,83,53,4.13,26.32
CAPE LEEUWIN,12/01/2023,5.2,0.0, ,25.5,16.7,88,58,3.64,27.13
CAPE LEEUWIN,13/01/2023,5.0,0.0, ,24.6,18.6,84,62,6.97,22.89
CAPE LEEUWIN,14/01/2023,5.7,0.0, ,20.8,15.9,74,54,12.28,25.04
CAPE LEEUWIN,15/01/2023,6.3,0.0, ,23.2,15.0,72,51,8.41,30.48
CAPE LEEUWIN,16/01/2023,5.8,0.0, ,22.4,16.9,75,48,8.96,22.13
CAPE LEEUWIN,17/01/2023,5.3,0.0, ,20.9,15.6,71,50,9.71,18.47
CAPE LEEUWIN,18/01/2023,6.4,0.0, ,22.4,15.6,72,51,12.75,28.31
CAPE LEEUWIN,19/01/2023,6.2,0.0, ,24.0,16.7,80,58,12.06,30.45
CAPE LEEUWIN,20/01/2023,5.5,0.0, ,24.2,17.7,85,66,11.12,30.16
CAPE LEEUWIN,21/01/2023,5.7,0.0, ,24.9,18.7,84,66,9.66,29.81
CAPE LEEUWIN,22/01/2023,5.8,0.0, ,26.7,19.9,90,64,6.31,30.08
CAPE LEEUWIN,23/01/2023,5.5,0.0, ,24.9,20.3,90,64,8.04,29.00
CAPE LEEUWIN,24/01/2023,4.4,0.0, ,23.3,19.2,87,65,8.97,19.32
CAPE LEEUWIN,25/01/2023,6.1,0.0, ,22.6,17.4,75,54,9.96,28.87
CAPE LEEUWIN,26/01/2023,5.6,0.0, ,24.0,16.9,79,59,5.33,28.99
CAPE LEEUWIN,27/01/2023,4.9,0.6, ,22.9,17.4,94,47,7.66,20.33
CAPE LEEUWIN,28/01/2023,6.0,0.0, ,22.7,14.4,74,46,7.12,28.26
CAPE LEEUWIN,29/01/2023,5.8,0.0, ,23.0,16.6,81,57,10.68,29.25
CAPE LEEUWIN,30/01/2023,5.4,0.0, ,23.7,18.5,82,66,10.17,28.41
CAPE LEEUWIN,31/01/2023,4.6,0.0, ,23.1,18.2,87,64,11.11,20.11
Totals:,,172.1,0.6, ,,,,,, 
