'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE LEEUWIN Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE LEEUWIN,01/06/2023,2.4,28.2, ,18.6,14.0,92,60,7.62,9.70
CAPE LEEUWIN,02/06/2023,2.4,1.2, ,18.2,14.4,82,61,6.29,10.46
CAPE LEEUWIN,03/06/2023,2.5,0.0, ,18.1,10.9,80,53,5.60,10.87
CAPE LEEUWIN,04/06/2023,2.3,0.2, ,17.9,11.3,92,64,10.91,5.68
CAPE LEEUWIN,05/06/2023,2.5,20.6, ,14.7,12.3,93,53,11.96,2.98
CAPE LEEUWIN,06/06/2023,2.4,15.4, ,14.6,8.2,88,62,13.56,6.20
CAPE LEEUWIN,07/06/2023,2.9,8.2, ,17.2,9.5,88,53,11.19,7.16
CAPE LEEUWIN,08/06/2023,2.2,3.0, ,17.7,13.9,94,57,6.88,9.37
CAPE LEEUWIN,09/06/2023,2.0,0.0, ,18.2,11.4,87,67,6.54,9.45
CAPE LEEUWIN,10/06/2023,2.6,0.2, ,19.1,15.1,94,64,12.83,9.16
CAPE LEEUWIN,11/06/2023,3.3,4.0, ,15.9,13.2,85,51,14.12,8.06
CAPE LEEUWIN,12/06/2023,2.7,1.2, ,17.7,12.3,91,55,9.46,8.04
CAPE LEEUWIN,13/06/2023,2.4,4.8, ,18.2,14.3,95,65,12.94,8.03
CAPE LEEUWIN,14/06/2023,2.6,14.0, ,17.4,13.9,93,57,10.71,6.58
CAPE LEEUWIN,15/06/2023,2.7,1.8, ,18.3,14.1,89,67,16.26,8.56
CAPE LEEUWIN,16/06/2023,2.8,12.8, ,15.8,13.7,94,51,13.21,8.74
CAPE LEEUWIN,17/06/2023,2.6,0.0, ,16.2,11.3,82,51,7.45,9.40
CAPE LEEUWIN,18/06/2023,2.2,0.6, ,16.0,11.2,81,52,4.95,9.93
CAPE LEEUWIN,19/06/2023,2.3,0.0, ,16.2,10.3,92,56,8.30,7.90
CAPE LEEUWIN,20/06/2023,2.4,13.8, ,15.0,11.7,92,58,12.16,9.02
CAPE LEEUWIN,21/06/2023,2.3,4.2, ,16.2,10.6,89,61,10.06,7.85
CAPE LEEUWIN,22/06/2023,2.5,1.4, ,17.1,12.3,93,63,14.22,8.29
CAPE LEEUWIN,23/06/2023,2.4,8.0, ,14.8,9.3,88,61,13.22,8.88
CAPE LEEUWIN,24/06/2023,2.1,5.2, ,16.2,10.5,90,67,10.45,8.76
CAPE LEEUWIN,25/06/2023,2.0,7.2, ,14.5,10.6,91,63,10.08,6.95
CAPE LEEUWIN,26/06/2023,1.8,14.4, ,13.9,7.8,89,63,6.85,9.49
CAPE LEEUWIN,27/06/2023,1.9,3.4, ,17.6,9.0,91,59,5.22,7.75
CAPE LEEUWIN,28/06/2023,1.4,0.2, ,15.8,13.0,92,73,5.02,9.42
CAPE LEEUWIN,29/06/2023,1.6,5.0, ,14.9,10.3,94,65,6.09,9.91
CAPE LEEUWIN,30/06/2023,2.0,0.0, ,16.2,7.4,83,51,4.47,10.88
Totals:,,70.2,179, ,,,,,, 
