'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NATURALISTE Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NATURALISTE,01/01/2023,5.1,0.0, ,23.4,13.1,88,54,7.60,23.98
CAPE NATURALISTE,02/01/2023,8.0,0.0, ,29.7,12.1,77,40,7.57,31.48
CAPE NATURALISTE,03/01/2023,8.4,0.0, ,31.8,13.6,85,37,7.17,31.64
CAPE NATURALISTE,04/01/2023,7.7,0.0, ,28.8,15.5,78,41,7.33,31.62
CAPE NATURALISTE,05/01/2023,9.8,0.0, ,33.8,17.4,77,24,6.78,31.48
CAPE NATURALISTE,06/01/2023,6.0,0.0, ,23.7,20.6,88,38,9.46,19.96
CAPE NATURALISTE,07/01/2023,5.4,0.0, ,23.6,14.7,79,51,6.45,23.34
CAPE NATURALISTE,08/01/2023,5.8,0.0, ,24.1,12.8,88,50,6.71,29.21
CAPE NATURALISTE,09/01/2023,7.6,0.0, ,30.2,13.9,85,45,7.64,31.10
CAPE NATURALISTE,10/01/2023,8.4,0.0, ,31.9,19.1,84,39,7.83,29.52
CAPE NATURALISTE,11/01/2023,6.2,0.0, ,24.6,16.5,85,48,6.51,30.45
CAPE NATURALISTE,12/01/2023,6.0,0.0, ,26.5,15.2,93,53,5.50,30.69
CAPE NATURALISTE,13/01/2023,5.9,0.0, ,26.3,16.5,92,58,6.79,30.04
CAPE NATURALISTE,14/01/2023,7.7,0.0, ,27.7,11.8,75,30,6.26,30.77
CAPE NATURALISTE,15/01/2023,6.8,0.0, ,23.5,13.7,77,40,8.70,30.82
CAPE NATURALISTE,16/01/2023,6.3,0.0, ,22.4,15.3,80,45,9.30,29.41
CAPE NATURALISTE,17/01/2023,6.8,0.0, ,26.2,10.8,72,34,6.86,24.88
CAPE NATURALISTE,18/01/2023,7.7,0.0, ,27.1,11.9,68,33,7.43,29.30
CAPE NATURALISTE,19/01/2023,8.4,0.0, ,29.5,15.7,71,35,7.66,30.53
CAPE NATURALISTE,20/01/2023,8.5,0.0, ,31.0,17.2,74,39,7.89,29.99
CAPE NATURALISTE,21/01/2023,9.9,0.0, ,34.2,19.0,70,21,6.49,29.91
CAPE NATURALISTE,22/01/2023,8.2,0.0, ,32.3,22.2,95,31,6.08,30.32
CAPE NATURALISTE,23/01/2023,8.4,0.0, ,32.1,18.9,85,32,6.32,30.23
CAPE NATURALISTE,24/01/2023,6.4,0.0, ,27.2,17.5,88,53,7.41,29.93
CAPE NATURALISTE,25/01/2023,7.0,0.0, ,27.3,13.9,88,36,6.25,29.94
CAPE NATURALISTE,26/01/2023,6.1,0.0, ,25.1,14.8,83,51,7.14,29.84
CAPE NATURALISTE,27/01/2023,5.8,1.2, ,24.1,16.3,96,45,7.91,27.38
CAPE NATURALISTE,28/01/2023,6.2,0.0, ,24.1,11.6,80,45,7.51,29.44
CAPE NATURALISTE,29/01/2023,9.0,0.0, ,32.9,13.0,76,33,7.50,29.27
CAPE NATURALISTE,30/01/2023,9.0,0.0, ,35.2,17.0,78,32,6.28,28.02
CAPE NATURALISTE,31/01/2023,7.2,0.0, ,29.7,15.2,83,42,7.85,25.03
Totals:,,225.7,1.2, ,,,,,, 
