'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NATURALISTE Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NATURALISTE,28/10/2023,4.9,0.0, ,19.9,7.8,76,45,5.74,26.99
CAPE NATURALISTE,29/10/2023,4.2,1.2, ,20.7,13.5,95,60,7.61,23.92
CAPE NATURALISTE,30/10/2023,4.0,0.0, ,20.2,10.1,81,43,5.72,14.02
CAPE NATURALISTE,31/10/2023,5.5,0.0, ,22.9,9.4,90,45,7.37,27.83
CAPE NATURALISTE,01/11/2023,5.7,0.0, ,24.7,11.2,87,51,7.71,27.93
CAPE NATURALISTE,02/11/2023,7.6,0.0, ,29.9,12.1,88,35,7.55,27.89
CAPE NATURALISTE,03/11/2023,8.2,0.0, ,30.2,14.2,77,33,8.78,25.04
Totals:,,40.1,1.2, ,,,,,, 
