'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CARNARVON AIRPORT Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CARNARVON AIRPORT,01/12/2022,6.8,0.0, ,26.9,20.4,80,54,7.53,30.52
CARNARVON AIRPORT,02/12/2022, ,0.0, , ,20.3,82,55,8.07,30.63
CARNARVON AIRPORT,03/12/2022,7.0, , ,27.7,20.3,81,53,7.95,30.60
CARNARVON AIRPORT,04/12/2022,6.8,0.0, ,27.0,20.7,79,57,8.08,30.27
CARNARVON AIRPORT,05/12/2022,6.9,0.0, ,27.1,20.5,76,56,8.03,30.25
CARNARVON AIRPORT,06/12/2022,7.2,0.0, ,27.5,20.4,78,49,7.81,30.43
CARNARVON AIRPORT,07/12/2022,6.5,0.0, ,27.1,21.1,78,58,6.49,28.91
CARNARVON AIRPORT,08/12/2022,7.1,0.0, ,28.0,20.9,77,51,7.41,29.30
CARNARVON AIRPORT,09/12/2022,7.4,0.0, ,26.5,19.3,72,46,8.02,30.63
CARNARVON AIRPORT,10/12/2022,7.9,0.0, ,27.5,18.5,73,42,8.90,30.51
CARNARVON AIRPORT,11/12/2022,8.1,0.0, ,28.4,19.5,78,40,8.90,30.73
CARNARVON AIRPORT,12/12/2022,6.8,0.0, ,27.5,20.9,83,55,7.11,30.71
CARNARVON AIRPORT,13/12/2022,6.4,0.0, ,27.5,21.4,84,62,6.21,30.77
CARNARVON AIRPORT,14/12/2022,6.6,0.0, ,28.0,21.8,84,58,6.89,30.15
CARNARVON AIRPORT,15/12/2022,6.8,0.0, ,27.5,21.7,82,61,9.60,30.93
CARNARVON AIRPORT,16/12/2022,8.6,0.0, ,34.8,21.8,82,51,7.97,30.98
CARNARVON AIRPORT,17/12/2022,12.9,0.0, ,39.0,22.8,73,13,8.28,31.02
CARNARVON AIRPORT,18/12/2022,12.0,0.0, ,39.6,22.8,77,10,6.55,30.99
CARNARVON AIRPORT,19/12/2022,9.4,0.0, ,35.7,20.6,88,22,5.46,30.99
CARNARVON AIRPORT,20/12/2022,6.3,0.0, ,28.2,21.0,91,56,5.23,30.00
CARNARVON AIRPORT,21/12/2022,8.2,0.0, ,32.5,20.0,78,50,7.88,31.16
CARNARVON AIRPORT,22/12/2022,10.0,0.0, ,35.4,21.5,77,28,7.26,30.03
CARNARVON AIRPORT,23/12/2022,9.5,0.0, ,38.5,25.2,80,28,4.92,29.86
CARNARVON AIRPORT,24/12/2022,8.9,0.0, ,35.5,23.0,84,33,5.11,31.22
CARNARVON AIRPORT,25/12/2022,7.7,0.0, ,31.5,23.1,83,52,6.86,31.24
CARNARVON AIRPORT,26/12/2022,9.0,0.0, ,32.3,23.8,78,46,9.79,30.48
CARNARVON AIRPORT,27/12/2022,9.3,0.0, ,31.9,21.9,78,40,10.08,30.81
CARNARVON AIRPORT,28/12/2022,10.9,0.0, ,39.0,23.8,73,21,7.83,21.29
CARNARVON AIRPORT,29/12/2022,12.5,0.0, ,42.4,24.8,73,13,6.46,29.68
CARNARVON AIRPORT,30/12/2022,10.6,0.0, ,34.0,24.3,75,22,8.08,30.96
CARNARVON AIRPORT,31/12/2022,8.3,0.0, ,30.1,21.0,83,42,9.43,30.79
Totals:,,252.4,0, ,,,,,, 
