'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CARNARVON AIRPORT Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CARNARVON AIRPORT,01/04/2023,5.0,0.2, ,28.9,19.0,86,58,4.67,22.30
CARNARVON AIRPORT,02/04/2023,5.0,0.0, ,29.0,22.7,83,56,5.89,17.22
CARNARVON AIRPORT,03/04/2023,4.9,0.0, ,29.1,22.9,86,51,5.45,16.28
CARNARVON AIRPORT,04/04/2023,4.9,6.8, ,28.8,21.3,94,59,6.03,21.19
CARNARVON AIRPORT,05/04/2023,5.4,0.2, ,27.4,18.0,85,50,6.60,21.73
CARNARVON AIRPORT,06/04/2023,6.1,0.0, ,28.2,19.9,76,41,6.16,21.56
CARNARVON AIRPORT,07/04/2023,5.8,0.0, ,27.3,21.3,75,52,7.23,21.21
CARNARVON AIRPORT,08/04/2023,5.1,0.0, ,26.7,14.0,81,46,5.34,21.23
CARNARVON AIRPORT,09/04/2023,5.6,0.0, ,27.2,17.0,81,42,6.16,21.10
CARNARVON AIRPORT,10/04/2023,4.3,0.0, ,26.2,14.8,88,57,4.69,20.48
CARNARVON AIRPORT,11/04/2023,6.0,0.0, ,26.5,19.7,82,39,7.73,19.99
CARNARVON AIRPORT,12/04/2023,5.7,0.0, ,26.7,16.9,78,47,7.68,20.62
CARNARVON AIRPORT,13/04/2023,5.2,0.0, ,26.8,20.4,84,57,8.66,20.55
CARNARVON AIRPORT,14/04/2023,6.7,0.0, ,25.0,20.4,80,32,10.59,18.67
CARNARVON AIRPORT,15/04/2023,7.5,0.0, ,27.1,13.9,64,19,7.86,20.17
CARNARVON AIRPORT,16/04/2023,6.8,0.0, ,30.3,8.9,76,15,4.99,20.03
CARNARVON AIRPORT,17/04/2023,6.1,0.0, ,29.1,10.0,85,18,4.60,19.89
CARNARVON AIRPORT,18/04/2023,7.9,0.0, ,33.3,14.8,79,13,5.72,19.77
CARNARVON AIRPORT,19/04/2023,8.2,0.0, ,34.8,14.5,65,12,5.43,18.37
CARNARVON AIRPORT,20/04/2023,6.8,0.0, ,32.7,15.9,75,20,4.75,19.58
CARNARVON AIRPORT,21/04/2023,6.2,0.0, ,32.1,13.5,84,22,4.41,18.57
CARNARVON AIRPORT,22/04/2023,6.4,0.0, ,32.9,13.0,90,16,4.16,19.30
CARNARVON AIRPORT,23/04/2023,6.0,0.0, ,31.2,14.2,91,21,4.64,18.34
CARNARVON AIRPORT,24/04/2023,3.8,0.0, ,26.0,17.2,91,59,5.23,16.27
CARNARVON AIRPORT,25/04/2023,3.8,0.0, ,22.9,14.4,90,49,4.85,18.59
CARNARVON AIRPORT,26/04/2023,5.2,0.0, ,25.9,11.1,80,33,5.55,18.84
CARNARVON AIRPORT,27/04/2023,6.1,0.0, ,28.0,13.6,88,25,6.49,18.72
CARNARVON AIRPORT,28/04/2023,7.0,0.0, ,29.0,16.5,74,26,7.75,17.15
CARNARVON AIRPORT,29/04/2023,7.1,0.0, ,34.4,16.7,78,19,5.09,17.98
CARNARVON AIRPORT,30/04/2023,3.3,0.0, ,28.7,18.6,89,43,3.20,8.58
Totals:,,173.9,7.2, ,,,,,, 
