'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLLIE EAST Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLLIE EAST,01/12/2022,3.2,0.0, ,23.9,14.6,93,52,1.52,14.45
COLLIE EAST,02/12/2022,5.3,0.0, ,27.0,8.2,99,33,1.39,29.92
COLLIE EAST,03/12/2022,6.1,0.0, ,29.5,9.4,97,28,2.33,29.45
COLLIE EAST,04/12/2022,3.1,0.0, ,20.4,14.4,91,54,3.63,11.82
COLLIE EAST,05/12/2022,3.2,0.0, ,22.4,14.6,82,55,3.01,11.68
COLLIE EAST,06/12/2022,5.9,0.0, ,25.2,13.4,89,29,3.00,29.20
COLLIE EAST,07/12/2022,6.5,0.0, ,27.9,12.8,83,25,3.20,28.75
COLLIE EAST,08/12/2022,5.8,10.6, ,26.5,13.1,100,44,2.31,31.65
COLLIE EAST,09/12/2022,4.9,0.2, ,23.7,10.8,99,39,1.51,28.88
COLLIE EAST,10/12/2022,4.2,0.0, ,23.7,7.3,99,32,1.54,22.70
COLLIE EAST,11/12/2022,5.7,0.0, ,25.0,6.5,94,26,2.36,31.60
COLLIE EAST,12/12/2022,6.4,0.0, ,25.5,8.4,85,25,3.49,31.76
COLLIE EAST,13/12/2022,6.4,0.0, ,26.0,12.2,75,29,4.06,27.56
COLLIE EAST,14/12/2022,6.6,0.0, ,27.9,12.3,81,26,3.35,29.34
COLLIE EAST,15/12/2022,6.3,0.0, ,28.8,11.2,86,29,2.90,28.57
COLLIE EAST,16/12/2022,6.6,0.0, ,27.1,11.4,86,28,3.47,31.75
COLLIE EAST,17/12/2022,6.8,0.0, ,29.2,11.3,85,22,2.94,31.03
COLLIE EAST,18/12/2022,6.4,0.0, ,31.2,12.9,84,22,2.32,28.16
COLLIE EAST,19/12/2022,6.8,0.0, ,33.3,13.5,84,16,2.21,28.07
COLLIE EAST,20/12/2022,7.1,0.0, ,34.2,13.1,80,15,2.06,31.07
COLLIE EAST,21/12/2022,6.8,0.0, ,31.9,13.8,82,21,2.62,28.53
COLLIE EAST,22/12/2022,7.5,0.0, ,34.5,13.8,81,18,2.40,31.50
COLLIE EAST,23/12/2022,6.8,0.0, ,34.9,13.6,85,14,1.49,31.78
COLLIE EAST,24/12/2022,6.7,0.0, ,33.0,13.1,88,15,1.63,31.77
COLLIE EAST,25/12/2022,5.9,0.0, ,30.5,-8.0,78,29,2.28,27.57
COLLIE EAST,26/12/2022,5.7,0.0, ,28.4,17.0,80,37,1.97,27.31
COLLIE EAST,27/12/2022,5.9,0.0, ,27.4,9.8,94,28,2.07,30.71
COLLIE EAST,28/12/2022,6.5,0.0, ,29.7,7.7,84,17,2.20,31.72
COLLIE EAST,29/12/2022,6.9,0.0, ,33.3,10.0,83,16,1.93,31.62
COLLIE EAST,30/12/2022,7.0,0.0, ,34.3,12.7,81,20,1.86,31.57
COLLIE EAST,31/12/2022,5.7,0.0, ,27.4,16.8,78,31,2.33,25.68
Totals:,,184.7,10.8, ,,,,,, 
