'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLLIE EAST Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLLIE EAST,01/02/2023,6.9,0.0, ,28.6,15.7,71,26,4.23,26.72
COLLIE EAST,02/02/2023,7.4,0.0, ,31.0,11.8,76,20,3.80,28.79
COLLIE EAST,03/02/2023,7.3,0.0, ,32.6,15.0,78,20,3.33,28.63
COLLIE EAST,04/02/2023,6.9,0.0, ,37.4,15.1,74,14,1.98,27.57
COLLIE EAST,05/02/2023,6.5,0.0, ,36.9,15.7,66,14,1.83,26.00
COLLIE EAST,06/02/2023,5.8,0.0, ,30.8,15.9,91,32,2.03,26.95
COLLIE EAST,07/02/2023, ,0.0, , ,14.4,92,35,1.40,19.39
COLLIE EAST,08/02/2023,5.4, , ,31.4,11.2,94,29,1.56,26.85
COLLIE EAST,09/02/2023,5.8,0.0, ,32.0,12.4,89,24,1.62,27.86
COLLIE EAST,10/02/2023,5.9,0.0, ,30.2,14.2,82,29,2.18,27.57
COLLIE EAST,11/02/2023,5.3,0.0, ,28.6,9.1,94,23,1.69,27.38
COLLIE EAST,12/02/2023,6.1,0.0, ,30.6,11.0,78,20,2.40,27.38
COLLIE EAST,13/02/2023,6.2,0.0, ,35.7,11.6,86,17,1.68,27.22
COLLIE EAST,14/02/2023,5.1,0.0, ,28.9,10.6,85,30,1.54,27.07
COLLIE EAST,15/02/2023,4.2,0.0, ,26.4,13.9,91,36,1.45,21.53
COLLIE EAST,16/02/2023,4.6,0.0, ,27.0,9.1,92,36,1.37,26.15
COLLIE EAST,17/02/2023,4.9,0.0, ,30.4,11.0,92,29,1.33,25.42
COLLIE EAST,18/02/2023,6.3,0.0, ,35.8,12.4,91,17,1.98,26.42
COLLIE EAST,19/02/2023,6.8,0.0, ,34.7,16.0,83,23,2.81,26.10
COLLIE EAST,20/02/2023,6.2,0.0, ,32.3,14.8,82,33,3.08,24.69
COLLIE EAST,21/02/2023, ,0.0, , ,15.7,88,32,1.66,25.90
COLLIE EAST,22/02/2023, , , , , , , , ,25.82
COLLIE EAST,23/02/2023, , , ,25.3, ,88,28,2.28,23.06
COLLIE EAST,24/02/2023,4.9,0.0, ,27.6,6.7,82,21,1.80,25.55
COLLIE EAST,25/02/2023,5.4,0.0, ,30.5,10.6,83,22,1.92,25.32
COLLIE EAST,26/02/2023,5.8,0.0, ,33.7,13.4,89,21,1.94,25.21
COLLIE EAST,27/02/2023,5.9,0.0, ,34.9,15.7,80,19,2.07,23.58
COLLIE EAST,28/02/2023,6.1,0.0, ,30.9,17.2,78,33,3.29,24.75
Totals:,,141.7,0, ,,,,,, 
