'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLLIE EAST Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLLIE EAST,01/06/2023,1.2,0.8, ,17.2,8.6,99,58,1.26,9.78
COLLIE EAST,02/06/2023,0.8,0.0, ,16.1,3.5,100,58,0.40,8.98
COLLIE EAST,03/06/2023,0.9,0.2, ,16.0,0.7,100,53,0.53,10.26
COLLIE EAST,04/06/2023,1.2,0.0, ,18.5,1.9,100,61,1.54,8.46
COLLIE EAST,05/06/2023,0.7,21.6, ,12.3,7.2,100,84,1.36,4.95
COLLIE EAST,06/06/2023,0.8,10.8, ,11.1,5.3,99,72,1.40,7.19
COLLIE EAST,07/06/2023,0.9,1.2, ,15.6,0.2,100,58,0.76,9.91
COLLIE EAST,08/06/2023,1.0,2.2, ,18.8,6.1,100,60,0.57,9.90
COLLIE EAST,09/06/2023,0.8,0.0, ,16.3,4.5,100,78,0.50,7.66
COLLIE EAST,10/06/2023,0.9,3.0, ,17.0,6.2,100,81,1.54,8.97
COLLIE EAST,11/06/2023,1.1,6.6, ,14.7,7.4,100,54,1.54,10.09
COLLIE EAST,12/06/2023,0.9,0.2, ,16.8,2.5,100,53,0.76,9.50
COLLIE EAST,13/06/2023,1.1,4.4, ,18.2,7.3,100,61,1.32,9.72
COLLIE EAST,14/06/2023,1.0,5.6, ,16.2,9.2,100,57,1.10,9.59
COLLIE EAST,15/06/2023,1.3,1.0, ,17.9,5.0,100,60,2.21,9.00
COLLIE EAST,16/06/2023,1.2,2.8, ,15.6,12.7,99,60,2.26,8.29
COLLIE EAST,17/06/2023,0.8,2.2, ,15.2,-1.3,99,48,0.54,10.09
COLLIE EAST,18/06/2023,0.7,0.0, ,15.7,1.1,100,48,0.28,9.94
COLLIE EAST,19/06/2023,0.7,0.0, ,13.2,-1.6,99,52,0.47,8.55
COLLIE EAST,20/06/2023,0.8,5.4, ,13.8,1.9,100,55,0.79,9.13
COLLIE EAST,21/06/2023,0.9,2.0, ,14.5,1.4,100,53,0.85,10.56
COLLIE EAST,22/06/2023,1.1,0.0, ,15.7,1.4,100,60,1.84,8.35
COLLIE EAST,23/06/2023,0.9,1.2, ,12.8,2.1,99,63,1.48,9.66
COLLIE EAST,24/06/2023,1.0,0.6, ,16.3,1.6,100,58,1.16,8.75
COLLIE EAST,25/06/2023,0.7,1.2, ,12.3,4.2,100,68,0.52,9.52
COLLIE EAST,26/06/2023,0.8,0.2, ,13.3,-1.4,100,54,0.70,10.64
COLLIE EAST,27/06/2023,0.7,0.0, ,14.9,-2.3,99,60,0.28,9.47
COLLIE EAST,28/06/2023,0.7,0.4, ,15.4,1.8,100,63,0.29,8.89
COLLIE EAST,29/06/2023,0.9,0.0, ,14.8,2.3,100,52,0.62,10.96
COLLIE EAST,30/06/2023,0.9,0.0, ,14.9,-2.2,99,47,0.70,11.32
Totals:,,27.4,73.6, ,,,,,, 
