'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLLIE EAST Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLLIE EAST,01/07/2023,1.0,0.0, ,16.1,-3.2,99,40,0.79,11.35
COLLIE EAST,02/07/2023,1.7,0.0, ,17.5,-3.3,99,34,1.94,11.38
COLLIE EAST,03/07/2023,1.3,4.6, ,16.3,1.9,100,58,2.60,7.68
COLLIE EAST,04/07/2023,0.9,17.8, ,13.1,6.0,97,78,1.90,8.48
COLLIE EAST,05/07/2023,1.1,10.8, ,14.5,6.7,98,59,1.73,10.79
COLLIE EAST,06/07/2023,1.0,0.4, ,15.6,1.2,100,66,1.30,9.77
COLLIE EAST,07/07/2023,1.2,0.8, ,17.5,6.5,99,65,1.86,8.60
COLLIE EAST,08/07/2023, ,0.4, , ,5.5,100,72,0.64,7.16
COLLIE EAST,09/07/2023,1.2,0.4, ,18.2,5.8,100,58,1.55,9.03
COLLIE EAST,10/07/2023,1.4,1.0, ,18.1,6.1,100,52,1.97,9.48
COLLIE EAST,11/07/2023,1.3,0.0, ,16.4,10.7,96,69,3.08,6.59
COLLIE EAST,12/07/2023,1.8,4.2, ,19.5,14.4,95,62,3.72,8.90
COLLIE EAST,13/07/2023,1.6,7.2, ,17.2,11.4,99,46,2.15,10.34
COLLIE EAST,14/07/2023,1.1,0.8, ,15.0,7.3,100,50,0.81,11.63
COLLIE EAST,15/07/2023,0.9,0.2, ,15.4,-1.6,99,48,0.45,12.04
COLLIE EAST,16/07/2023,1.4,0.0, ,17.1,-3.1,99,44,1.59,11.63
COLLIE EAST,17/07/2023,0.8,0.0, ,16.6,1.7,100,73,0.30,7.08
COLLIE EAST,18/07/2023,1.5,0.2, ,17.2,9.2,100,57,2.90,7.60
COLLIE EAST,19/07/2023,1.2,29.8, ,12.6,7.4,99,55,1.95,10.93
COLLIE EAST,20/07/2023,1.0,1.0, ,15.3,-0.2,100,68,1.16,10.14
COLLIE EAST,21/07/2023,1.3,5.0, ,16.9,4.6,100,63,1.97,9.34
COLLIE EAST,22/07/2023,1.0,0.2, ,16.9,2.3,100,51,0.30,12.03
COLLIE EAST,23/07/2023,1.2,0.0, ,18.8,-1.0,99,40,0.57,12.67
COLLIE EAST,24/07/2023,1.6,0.0, ,20.0,-1.5,99,30,1.16,12.76
COLLIE EAST,25/07/2023,1.4,0.0, ,14.6,3.0,97,43,2.11,5.57
COLLIE EAST,26/07/2023,1.1,6.0, ,13.4,6.9,100,71,1.71,8.92
COLLIE EAST,27/07/2023,1.3,1.8, ,15.1,6.6,99,60,1.73,8.78
COLLIE EAST,28/07/2023,1.2,1.0, ,15.5,8.2,99,71,2.27,8.94
COLLIE EAST,29/07/2023,1.2,7.4, ,15.5,12.0,100,78,1.92,9.29
COLLIE EAST,30/07/2023,1.1,2.2, ,16.7,10.2,100,72,0.51,8.92
COLLIE EAST,31/07/2023,1.1,0.8, ,17.0,6.6,100,71,0.61,9.17
Totals:,,36.9,104, ,,,,,, 
