'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CUNDERDIN AIRFIELD Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CUNDERDIN AIRFIELD,01/09/2023,4.2,0.0, ,25.9,5.0,96,43,4.95,16.45
CUNDERDIN AIRFIELD,02/09/2023,3.0,1.2, ,21.0,8.3,99,49,5.30,11.29
CUNDERDIN AIRFIELD,03/09/2023,3.1,4.8, ,17.2,7.9,96,49,7.50,15.24
CUNDERDIN AIRFIELD,04/09/2023,3.3,0.6, ,20.9,4.2,98,46,5.00,15.19
CUNDERDIN AIRFIELD,05/09/2023,3.4,0.2, ,21.8,6.9,99,45,4.81,14.46
CUNDERDIN AIRFIELD,06/09/2023,3.7,1.8, ,19.1,10.0,96,37,5.47,17.90
CUNDERDIN AIRFIELD,07/09/2023,3.4,0.0, ,19.2,-2.0,95,27,2.84,19.48
CUNDERDIN AIRFIELD,08/09/2023,5.6,0.0, ,25.5,1.0,91,13,4.48,19.61
CUNDERDIN AIRFIELD,09/09/2023,5.7,0.0, ,26.4,10.6,92,19,5.62,17.86
CUNDERDIN AIRFIELD,10/09/2023,3.2,0.0, ,24.0,6.3,97,45,2.34,16.84
CUNDERDIN AIRFIELD,11/09/2023,4.8,0.0, ,31.0,4.3,96,28,2.64,20.10
CUNDERDIN AIRFIELD,12/09/2023,2.4,0.0, ,23.3,6.5,98,52,1.78,11.22
CUNDERDIN AIRFIELD,13/09/2023,3.6,0.0, ,21.6,6.9,99,47,7.90,9.36
CUNDERDIN AIRFIELD,14/09/2023,3.4,22.6, ,20.9,8.1,94,51,5.08,16.35
CUNDERDIN AIRFIELD,15/09/2023,3.7,0.0, ,23.5,9.1,97,48,4.47,16.70
CUNDERDIN AIRFIELD,16/09/2023,3.2,0.0, ,23.3,5.5,99,47,2.05,18.20
CUNDERDIN AIRFIELD,17/09/2023,3.9,0.0, ,20.6,8.2,98,32,3.51,21.12
CUNDERDIN AIRFIELD,18/09/2023,3.7,0.0, ,21.2,1.8,97,40,3.52,20.80
CUNDERDIN AIRFIELD,19/09/2023,3.7,0.0, ,22.4,8.1,93,46,4.19,16.86
CUNDERDIN AIRFIELD,20/09/2023,3.7,0.0, ,22.5,9.7,91,37,2.00,21.58
CUNDERDIN AIRFIELD,21/09/2023,4.0,0.0, ,27.3,5.5,92,26,2.30,15.84
CUNDERDIN AIRFIELD,22/09/2023,8.1,0.0, ,35.9,12.3,92,16,5.24,19.70
CUNDERDIN AIRFIELD,23/09/2023,3.1,0.0, ,21.8,14.4,91,51,4.39,11.09
CUNDERDIN AIRFIELD,24/09/2023,4.4,0.0, ,23.8,6.1,98,35,3.86,20.73
CUNDERDIN AIRFIELD,25/09/2023,5.2,0.0, ,26.4,9.7,86,35,4.69,21.39
CUNDERDIN AIRFIELD,26/09/2023,5.4,0.0, ,27.0,7.3,95,21,3.68,22.37
CUNDERDIN AIRFIELD,27/09/2023,7.4,0.0, ,35.0,6.8,77,17,3.94,22.42
CUNDERDIN AIRFIELD,28/09/2023,6.8,0.0, ,35.8,14.5,74,19,3.73,17.99
CUNDERDIN AIRFIELD,29/09/2023,7.0,0.0, ,31.6,7.7,93,19,4.75,22.48
CUNDERDIN AIRFIELD,30/09/2023,4.9,0.0, ,25.7,7.7,97,30,4.16,19.44
Totals:,,131,31.2, ,,,,,, 
