'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/06/2023,4.6,0.0, ,31.0,11.4,93,20,2.63,18.37
CURTIN AERO,02/06/2023,4.3,0.0, ,31.4,13.4,79,27,2.27,18.34
CURTIN AERO,03/06/2023,4.4,0.0, ,31.5,13.4,85,29,2.56,18.30
CURTIN AERO,04/06/2023,3.7,0.0, ,30.6,14.1,98,34,1.91,18.25
CURTIN AERO,05/06/2023,3.9,0.0, ,30.3,14.1,93,43,2.62,18.09
CURTIN AERO,06/06/2023, ,0.0, , ,18.8, , , ,11.23
CURTIN AERO,07/06/2023,3.9, , ,30.3,18.7,88,44,2.97,14.84
CURTIN AERO,08/06/2023,6.0,0.0, ,33.3,20.4,61,34,4.34,18.08
CURTIN AERO,09/06/2023,5.8,0.0, ,33.9,20.2,65,31,3.87,18.09
CURTIN AERO,10/06/2023,4.5,0.0, ,33.6,18.5,75,29,2.36,18.02
CURTIN AERO,11/06/2023,4.8,0.0, ,33.3,18.6,73,31,2.82,17.92
CURTIN AERO,12/06/2023,4.7,0.0, ,32.5,18.6,77,31,2.89,17.67
CURTIN AERO,13/06/2023,6.6,0.0, ,32.8,19.5,59,24,4.81,17.78
CURTIN AERO,14/06/2023,6.6,0.0, ,31.3,20.8,43,27,4.93,17.86
CURTIN AERO,15/06/2023,6.5,0.0, ,30.9,18.4,43,23,4.69,17.90
CURTIN AERO,16/06/2023,4.8,0.0, ,32.2,18.0,65,24,2.77,17.89
CURTIN AERO,17/06/2023,4.0,0.0, ,32.3,15.4,74,21,1.91,17.14
CURTIN AERO,18/06/2023,4.9,0.0, ,32.8,18.2,77,25,2.97,17.59
CURTIN AERO,19/06/2023,4.3,0.0, ,31.9,15.7,95,30,2.52,17.84
CURTIN AERO,20/06/2023,4.5,0.0, ,31.4,15.2,89,38,3.24,17.73
CURTIN AERO,21/06/2023,3.0,0.0, ,29.5,19.8,98,58,3.19,11.08
CURTIN AERO,22/06/2023,3.8,20.4, ,26.7,18.1,98,51,4.67,16.62
CURTIN AERO,23/06/2023,5.0,0.0, ,28.9,14.3,66,37,4.28,17.30
CURTIN AERO,24/06/2023,5.2,0.0, ,29.7,16.4,67,33,4.23,17.99
CURTIN AERO,25/06/2023,4.8,0.0, ,32.4,18.0,80,36,3.33,18.00
CURTIN AERO,26/06/2023,3.3,0.0, ,25.4,20.6,95,46,4.18,11.55
CURTIN AERO,27/06/2023,1.5,3.8, ,19.5,17.7,96,83,4.29,6.78
CURTIN AERO,28/06/2023,2.3,5.0, ,22.8,18.0,96,73,5.81,10.45
CURTIN AERO,29/06/2023,3.3,0.0, ,24.8,16.9,87,61,5.30,13.61
CURTIN AERO,30/06/2023,2.2,0.0, ,21.9,18.5,92,75,4.92,10.16
Totals:,,127.2,29.2, ,,,,,, 
