'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/08/2023,6.3,0.0, ,34.9,20.5,74,24,3.84,19.87
CURTIN AERO,02/08/2023,6.2,0.0, ,34.4,16.3,86,19,3.74,20.11
CURTIN AERO,03/08/2023,5.5,0.0, ,33.7,15.1,69,23,2.89,20.20
CURTIN AERO,04/08/2023,5.4,0.0, ,34.2,16.7,60,24,2.58,20.17
CURTIN AERO,05/08/2023,7.1,0.0, ,35.0,20.4,52,24,4.30,19.82
CURTIN AERO,06/08/2023,7.4,0.0, ,33.1,19.3,45,23,4.89,20.43
CURTIN AERO,07/08/2023,7.3,0.0, ,31.6,18.4,50,19,5.01,20.52
CURTIN AERO,08/08/2023,6.8,0.0, ,32.1,18.5,47,17,4.16,20.62
CURTIN AERO,09/08/2023,5.8,0.0, ,32.4,16.2,70,18,3.18,20.69
CURTIN AERO,10/08/2023,6.2,0.0, ,33.2,15.1,57,19,3.44,20.75
CURTIN AERO,11/08/2023,6.1,0.0, ,33.5,17.1,65,21,3.30,20.85
CURTIN AERO,12/08/2023,5.7,0.0, ,33.3,16.4,75,21,2.95,20.95
CURTIN AERO,13/08/2023,5.5,0.0, ,34.3,14.2,90,23,2.79,20.66
CURTIN AERO,14/08/2023,5.9,0.0, ,33.6,15.5,64,24,3.08,21.16
CURTIN AERO,15/08/2023,5.5,0.0, ,33.9,16.1,86,27,2.77,21.19
CURTIN AERO,16/08/2023,5.5,0.0, ,32.9,15.7,83,32,3.11,21.34
CURTIN AERO,17/08/2023,5.5,0.0, ,32.4,16.1,90,29,3.28,21.42
CURTIN AERO,18/08/2023,8.4,0.0, ,33.6,18.3,62,19,6.14,21.53
CURTIN AERO,19/08/2023,8.3,0.0, ,35.1,21.1,39,23,5.10,21.60
CURTIN AERO,20/08/2023,6.8,0.0, ,34.4,19.9,56,19,3.64,21.72
CURTIN AERO,21/08/2023,6.4,0.0, ,34.2,16.6,79,16,3.31,21.82
CURTIN AERO,22/08/2023,7.6,0.0, ,34.0,15.6,83,12,4.79,21.92
CURTIN AERO,23/08/2023,6.9,0.0, ,33.9,18.7,41,17,3.48,22.01
CURTIN AERO,24/08/2023,8.4,0.0, ,34.7,18.7,43,13,4.90,22.07
CURTIN AERO,25/08/2023,8.9,0.0, ,33.8,17.7,32,12,5.36,22.18
CURTIN AERO,26/08/2023,8.9,0.0, ,34.2,17.9,33,13,5.32,22.30
CURTIN AERO,27/08/2023,8.4,0.0, ,34.4,17.1,26,13,4.68,22.40
CURTIN AERO,28/08/2023,7.3,0.0, ,34.7,16.2,47,13,3.63,22.49
CURTIN AERO,29/08/2023,7.9,0.0, ,35.7,17.8,52,12,4.08,22.58
CURTIN AERO,30/08/2023,8.5,0.0, ,36.3,20.6,29,11,4.22,22.68
CURTIN AERO,31/08/2023,9.0,0.0, ,37.0,19.2,26,9,4.50,22.79
Totals:,,215.4,0, ,,,,,, 
