'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/09/2023,9.4,0.0, ,35.8,19.8,28,10,5.12,22.93
CURTIN AERO,02/09/2023,7.1,0.0, ,36.8,12.6,65,11,3.03,22.95
CURTIN AERO,03/09/2023,6.3,0.0, ,33.3,15.0,90,26,3.54,23.05
CURTIN AERO,04/09/2023,6.2,0.0, ,34.3,14.7,99,18,2.92,23.20
CURTIN AERO,05/09/2023,7.4,0.0, ,35.2,18.0,68,15,3.86,23.30
CURTIN AERO,06/09/2023,7.2,0.0, ,35.6,14.7,63,14,3.41,23.40
CURTIN AERO,07/09/2023,7.9,0.0, ,36.5,14.9,64,13,3.88,23.52
CURTIN AERO,08/09/2023,8.8,0.0, ,37.4,19.8,40,17,4.53,23.46
CURTIN AERO,09/09/2023,6.3,0.0, ,36.8,17.3,73,24,2.56,23.29
CURTIN AERO,10/09/2023,6.9,0.0, ,37.9,18.5,78,17,2.82,23.75
CURTIN AERO,11/09/2023,9.1,0.0, ,38.2,22.1,50,12,4.56,23.96
CURTIN AERO,12/09/2023,7.4,0.0, ,36.3,18.5,68,13,3.37,24.02
CURTIN AERO,13/09/2023,7.6,0.0, ,35.7,19.0,55,10,3.47,24.15
CURTIN AERO,14/09/2023,6.8,0.0, ,35.8,15.2,76,16,2.92,24.14
CURTIN AERO,15/09/2023,7.3,0.0, ,36.4,16.8,67,17,3.29,24.21
CURTIN AERO,16/09/2023,6.5,0.0, ,35.7,16.2,91,20,2.95,22.91
CURTIN AERO,17/09/2023,6.8,0.0, ,35.8,15.9,83,18,3.18,22.77
CURTIN AERO,18/09/2023,7.0,0.0, ,36.1,17.3,97,18,3.35,24.05
CURTIN AERO,19/09/2023,6.4,0.0, ,36.0,18.5,98,24,3.01,22.47
CURTIN AERO,20/09/2023,6.7,0.0, ,36.2,18.0,96,23,3.08,24.46
CURTIN AERO,21/09/2023,7.1,0.0, ,37.8,18.8,79,18,2.84,24.89
CURTIN AERO,22/09/2023,7.5,0.0, ,39.4,18.3,78,15,2.92,24.93
CURTIN AERO,23/09/2023,8.3,0.0, ,40.2,18.8,70,11,3.36,25.14
CURTIN AERO,24/09/2023,7.8,0.0, ,40.2,16.8,98,10,2.94,25.22
CURTIN AERO,25/09/2023,7.4,0.0, ,38.4,18.4,95,18,3.15,25.16
CURTIN AERO,26/09/2023,6.8,0.0, ,36.8,20.4,99,33,3.17,25.45
CURTIN AERO,27/09/2023, ,0.0, , ,19.8,98,17,2.81,25.56
CURTIN AERO,28/09/2023, , , ,39.1, ,97,22,3.53,22.45
CURTIN AERO,29/09/2023,7.6,0.2, ,39.6,20.1,94,18,3.09,25.51
CURTIN AERO,30/09/2023,7.2,0.0, ,38.2,24.2,96,24,3.05,25.09
Totals:,,204.8,0.2, ,,,,,, 
