'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/10/2022,5.4,0.0, ,26.0,8.4,80,27,4.12,21.80
DALWALLINU,02/10/2022,4.9,0.0, ,22.8,8.2,92,35,5.53,21.26
DALWALLINU,03/10/2022,4.6,0.0, ,22.0,6.9,93,31,4.34,21.24
DALWALLINU,04/10/2022,5.9,0.0, ,26.5,5.1,91,19,4.19,23.65
DALWALLINU,05/10/2022,4.3,1.0, ,22.0,9.0,94,37,4.57,18.68
DALWALLINU,06/10/2022,4.0,0.0, ,19.7,3.0,93,34,3.89,21.27
DALWALLINU,07/10/2022,4.5,0.0, ,21.0,4.7,94,27,3.57,23.88
DALWALLINU,08/10/2022,6.2,0.0, ,27.3,4.7,77,14,3.85,24.11
DALWALLINU,09/10/2022,5.0,0.0, ,23.4,8.4,77,29,4.43,19.29
DALWALLINU,10/10/2022,4.3,0.0, ,21.7,12.1,93,38,4.76,18.54
DALWALLINU,11/10/2022,4.7,0.0, ,19.9,2.9,90,26,4.63,23.43
DALWALLINU,12/10/2022,4.8,0.0, ,19.6,4.2,93,25,4.85,24.05
DALWALLINU,13/10/2022,5.1,0.0, ,22.2,2.4,90,17,3.59,24.35
DALWALLINU,14/10/2022,5.8,0.0, ,25.4,4.4,91,17,3.90,24.39
DALWALLINU,15/10/2022,5.9,0.0, ,27.1,7.0,86,19,3.62,24.24
DALWALLINU,16/10/2022,5.7,0.0, ,23.2,7.5,91,27,5.83,24.29
DALWALLINU,17/10/2022,4.7,0.0, ,21.8,7.9,95,29,4.35,21.31
DALWALLINU,18/10/2022,6.0,0.0, ,26.6,7.0,94,19,3.97,24.48
DALWALLINU,19/10/2022,7.9,0.0, ,33.2,8.8,86,11,4.38,24.41
DALWALLINU,20/10/2022,5.1,0.0, ,26.1,13.0,90,37,4.06,20.67
DALWALLINU,21/10/2022,4.9,0.0, ,25.6,12.1,96,34,3.75,21.14
DALWALLINU,22/10/2022,4.6,0.0, ,26.1,12.5,82,35,3.23,17.95
DALWALLINU,23/10/2022,4.4,0.0, ,27.0,9.2,93,30,3.28,13.77
DALWALLINU,24/10/2022,5.3,0.8, ,23.9,11.9,94,32,5.26,21.44
DALWALLINU,25/10/2022,5.0,0.2, ,24.1,9.9,93,32,4.86,19.59
DALWALLINU,26/10/2022,5.8,0.0, ,26.3,8.3,91,22,3.92,23.89
DALWALLINU,27/10/2022,6.5,0.0, ,28.4,8.7,91,20,4.33,23.75
DALWALLINU,28/10/2022,7.7,0.0, ,30.0,10.5,69,23,5.74,24.69
DALWALLINU,29/10/2022,4.6,0.0, ,24.0,11.1,92,34,4.68,16.09
DALWALLINU,30/10/2022,5.0,1.6, ,19.1,7.7,92,24,6.57,21.07
DALWALLINU,31/10/2022, ,0.0, , ,4.6,88,24,4.51,25.52
Totals:,,158.6,3.6, ,,,,,, 
