'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/06/2023,1.9,11.8, ,18.3,11.8,95,61,3.56,11.14
DALWALLINU,02/06/2023,1.6,0.0, ,14.1,5.5,95,61,4.06,8.93
DALWALLINU,03/06/2023,2.2,0.2, ,16.6,4.3,95,45,4.13,13.00
DALWALLINU,04/06/2023,3.0,0.0, ,19.9,4.9,89,28,3.84,12.93
DALWALLINU,05/06/2023,1.7,8.2, ,16.7,9.5,95,70,6.36,9.00
DALWALLINU,06/06/2023,1.7,8.0, ,13.3,7.0,93,62,4.89,10.37
DALWALLINU,07/06/2023,1.8,0.4, ,15.7,5.9,93,53,3.21,12.26
DALWALLINU,08/06/2023,1.7,0.0, ,18.1,7.2,87,54,2.16,11.39
DALWALLINU,09/06/2023,1.8,0.0, ,19.5,8.9,94,44,1.80,12.69
DALWALLINU,10/06/2023,2.4,0.0, ,20.9,6.6,92,33,2.76,12.77
DALWALLINU,11/06/2023,2.2,0.4, ,17.1,10.3,95,44,4.22,11.40
DALWALLINU,12/06/2023,1.7,0.0, ,16.2,6.8,84,53,2.67,10.90
DALWALLINU,13/06/2023,1.7,0.0, ,18.0,3.8,93,39,1.77,12.70
DALWALLINU,14/06/2023,1.9,0.0, ,19.1,8.7,94,56,3.48,9.79
DALWALLINU,15/06/2023,1.9,5.8, ,17.9,7.1,95,55,3.65,9.68
DALWALLINU,16/06/2023,1.8,0.2, ,17.3,9.9,94,60,3.99,9.72
DALWALLINU,17/06/2023,1.8,0.6, ,14.8,5.5,95,42,2.82,12.62
DALWALLINU,18/06/2023,1.8,0.0, ,14.5,2.8,81,39,2.64,11.91
DALWALLINU,19/06/2023,2.3,0.0, ,18.6,1.9,83,38,3.07,10.71
DALWALLINU,20/06/2023,1.9,0.0, ,15.1,1.8,90,53,3.98,11.38
DALWALLINU,21/06/2023,1.5,0.8, ,13.8,6.5,94,63,3.86,10.16
DALWALLINU,22/06/2023,1.9,0.0, ,16.3,8.4,92,53,3.74,10.28
DALWALLINU,23/06/2023,1.6,1.2, ,14.1,8.7,93,61,3.94,11.17
DALWALLINU,24/06/2023,1.7,0.2, ,16.0,6.7,95,56,3.22,10.59
DALWALLINU,25/06/2023,1.2,1.2, ,13.8,6.1,95,74,3.32,8.53
DALWALLINU,26/06/2023,1.6,2.4, ,11.2,5.9,93,60,5.40,9.32
DALWALLINU,27/06/2023,1.9,0.2, ,13.6,2.5,92,49,4.35,12.70
DALWALLINU,28/06/2023,1.7,0.0, ,15.1,2.8,92,48,2.76,11.25
DALWALLINU,29/06/2023,2.2,0.0, ,15.7,4.7,84,40,3.52,12.56
DALWALLINU,30/06/2023,2.3,0.0, ,15.3,1.9,86,40,4.04,12.77
Totals:,,56.4,41.6, ,,,,,, 
